Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Avg No. of Regenerations until valid board generation per game setting,Total No. of Times Matches Occurred during init,Avg No. of Times Matches Occurred during init per game setting,Total No. of Deadlocks during init,Avg No. of Deadlocks during init per game setting,Total No. of Times Game Started,Avg No. of Times Game Started per game setting,Total No. of Shuffles/Deadlocks Occurred,Avg No. of Shuffles/Deadlocks Occurred per game setting,Average No. of Moves until Shuffle occurs per game setting,Total score,Avg score per Game Setting,Total Valid Moves Made,Avg No. of Valid Moves Made,Avg Score per Move,Total No. of Possible/Playable Moves,Avg No. of Possible/Playable Moves per configuration,Total No. of Avalanche Matches,Avg No. of Avalanche Matches per game setting,Probability that the game will not start,Total Moves Available per Game Setting,Experiment Repeat
"(10, 10)",30,8,0.8,2,0.2,6,0.6,10,1,968,96.8,1.033057851,3048,304.8,1000,100,3.048,19519,19.519,105,10.5,0.444444444,100,10
"(10, 10)",35,15,1.5,1,0.1,14,1.4,10,1,1391,139.1,0.718907261,3065,306.5,1000,100,3.065,22867,22.867,120,12,0.6,100,10
"(10, 10)",40,29,2.9,1,0.1,28,2.8,10,1,1928,192.8,0.518672199,3051,305.1,1000,100,3.051,24343,24.343,127,12.7,0.743589744,100,10
"(10, 10)",45,49,4.9,2,0.2,47,4.7,10,1,2605,260.5,0.383877159,3037,303.7,1000,100,3.037,24597,24.597,129,12.9,0.830508475,100,10
"(10, 10)",50,23,2.3,1,0.1,22,2.2,10,1,3647,364.7,0.274197971,3017,301.7,1000,100,3.017,24691,24.691,126,12.6,0.696969697,100,10
"(10, 10)",55,62,6.2,0,0,62,6.2,10,1,4743,474.3,0.210837023,3028,302.8,1000,100,3.028,22298,22.298,116,11.6,0.861111111,100,10
"(10, 10)",60,67,6.7,0,0,67,6.7,10,1,6835,683.5,0.146305779,3011,301.1,1000,100,3.011,26881,26.881,125,12.5,0.87012987,100,10
"(10, 10)",65,88,8.8,2,0.2,86,8.6,10,1,8472,847.2,0.118035883,3016,301.6,1000,100,3.016,21330,21.33,105,10.5,0.897959184,100,10
"(10, 10)",70,140,14,1,0.1,139,13.9,10,1,12512,1251.2,0.072090793,2712,271.2,902,90.2,3.006651885,20567,22.80155211,108,10.8,0.933333333,100,10
"(10, 10)",75,358,35.8,2,0.2,356,35.6,10,1,17486,1748.6,0.041404552,2177,217.7,724,72.4,3.006906077,16236,22.42541436,83,8.3,0.972826087,100,10
"(10, 10)",80,492,49.2,0,0,492,49.2,10,1,15847,1584.7,0.010348962,492,49.2,164,16.4,3,3604,21.97560976,17,1.7,0.980079681,100,10
"(10, 10)",85,651,65.1,0,0,651,65.1,10,1,11012,1101.2,0.002451871,81,8.1,27,2.7,3,546,20.22222222,2,0.2,0.984871407,100,10
"(10, 10)",90,2870,287,0,0,2870,287,10,1,10955,1095.5,0.001916933,63,6.3,21,2.1,3,366,17.42857143,1,0.1,0.996527778,100,10
"(10, 10)",95,5603,560.3,0,0,5603,560.3,6,0.6,6338,633.8,0.001104449,21,2.1,7,0.7,3,8,1.142857143,0,0,0.998930291,100,10
"(10, 10)",100,10000,1000,0,0,10000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,10
"(15, 15)",3,10000,1000,10000,1000,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,1,100,10
"(15, 15)",5,10000,1000,10000,1000,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,1,100,10
"(15, 15)",10,406,40.6,396,39.6,10,1,10,1,8,0.8,125,3707,370.7,1000,100,3.707,14420,14.42,182,18.2,0.975961538,100,10
"(15, 15)",20,11,1.1,7,0.7,4,0.4,10,1,124,12.4,8.064516129,3290,329,1000,100,3.29,31698,31.698,113,11.3,0.523809524,100,10
"(15, 15)",30,8,0.8,5,0.5,3,0.3,10,1,338,33.8,2.958579882,3143,314.3,1000,100,3.143,45630,45.63,115,11.5,0.444444444,100,10
"(15, 15)",40,5,0.5,1,0.1,4,0.4,10,1,617,61.7,1.620745543,3092,309.2,1000,100,3.092,44616,44.616,110,11,0.333333333,100,10
