Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Total No. of Times Matches Occurred during init,Total No. of Deadlocks during init,Average No. of Regenerations until valid board generation,Total No. of Shuffles/Deadlocks Occurred,Average No. of Moves until Shuffle occurs,Average No. of Deadlocks Occurred,Total score per Game Setting,Total Valid Moves Made,Average Score per Move,Total No. of Possible Moves,Average No. of Possible Moves per Configuration,Total No. of Avalanche Matches,Average No. of Avalanche matches occurred,Total Moves Available per Game Setting,Experiment Repeat
"(20, 20)",35,4,4,0,0.4,218,4.587155963,21.8,3157,1000,3.157,65450,65.45,99,9.9,100,10
"(20, 20)",45,4,3,1,0.4,391,2.557544757,39.1,3094,1000,3.094,76674,76.674,100,10,100,10
"(20, 20)",55,2,1,1,0.2,536,1.865671642,53.6,3060,1000,3.06,76275,76.275,97,9.7,100,10
"(20, 20)",65,10,3,7,1,878,1.138952164,87.8,3044,1000,3.044,84984,84.984,116,11.6,100,10
"(20, 20)",75,10,0,10,1,1030,0.970873786,103,3031,1000,3.031,71379,71.379,90,9,100,10
"(20, 20)",85,6,1,5,0.6,1510,0.662251656,151,3028,1000,3.028,86217,86.217,107,10.7,100,10
"(20, 20)",95,32,6,26,3.2,1899,0.526592944,189.9,3017,1000,3.017,92162,92.162,116,11.6,100,10
"(20, 20)",105,14,2,12,1.4,2305,0.433839479,230.5,3018,1000,3.018,74106,74.106,94,9.4,100,10
"(20, 20)",115,31,3,28,3.1,2808,0.356125356,280.8,3017,1000,3.017,85336,85.336,105,10.5,100,10
"(20, 20)",125,20,2,18,2,3516,0.284414107,351.6,3014,1000,3.014,82315,82.315,102,10.2,100,10
"(20, 20)",135,61,2,59,6.1,3595,0.278164117,359.5,3007,1000,3.007,84569,84.569,101,10.1,100,10
"(20, 20)",145,38,4,34,3.8,4716,0.212044105,471.6,3016,1000,3.016,95841,95.841,123,12.3,100,10
"(20, 20)",155,42,3,39,4.2,5598,0.178635227,559.8,3014,1000,3.014,75527,75.527,93,9.3,100,10
"(20, 20)",165,36,2,34,3.6,6637,0.150670484,663.7,3003,1000,3.003,83012,83.012,98,9.8,100,10
"(20, 20)",175,33,2,31,3.3,6854,0.145900204,685.4,3007,1000,3.007,88989,88.989,115,11.5,100,10
"(20, 20)",185,78,2,76,7.8,8608,0.116171004,860.8,3009,1000,3.009,84494,84.494,102,10.2,100,10
"(20, 20)",195,104,0,104,10.4,10210,0.097943193,1021,3006,1000,3.006,89724,89.724,110,11,100,10
"(20, 20)",205,61,0,61,6.1,11025,0.090702948,1102.5,3001,1000,3.001,76209,76.209,90,9,100,10
"(20, 20)",215,57,2,55,5.7,12790,0.078186083,1279,3006,1000,3.006,88224,88.224,110,11,100,10
"(20, 20)",225,81,3,78,8.1,12712,0.078665828,1271.2,3008,1000,3.008,92761,92.761,114,11.4,100,10
"(20, 20)",235,64,1,63,6.4,16948,0.059004012,1694.8,3001,1000,3.001,85224,85.224,103,10.3,100,10
"(20, 20)",245,66,0,66,6.6,17508,0.057116747,1750.8,3001,1000,3.001,80693,80.693,94,9.4,100,10
"(20, 20)",255,63,0,63,6.3,19971,0.050072605,1997.1,3003,1000,3.003,91972,91.972,113,11.3,100,10
"(20, 20)",265,188,2,186,18.8,20929,0.047780592,2092.9,3003,1000,3.003,69415,69.415,80,8,100,10
"(20, 20)",275,131,1,130,13.1,25702,0.038907478,2570.2,3000,1000,3,88955,88.955,109,10.9,100,10
"(20, 20)",285,185,1,184,18.5,25704,0.038904451,2570.4,3001,1000,3.001,87457,87.457,103,10.3,100,10
"(20, 20)",295,203,2,201,20.3,28591,0.034976041,2859.1,3007,1000,3.007,93441,93.441,112,11.2,100,10
"(20, 20)",305,195,1,194,19.5,31689,0.031556692,3168.9,3000,1000,3,98699,98.699,120,12,100,10
"(20, 20)",315,187,1,186,18.7,35571,0.028112789,3557.1,3000,1000,3,85931,85.931,106,10.6,100,10
"(20, 20)",325,273,2,271,27.3,43319,0.023084559,4331.9,3003,1000,3.003,95717,95.717,119,11.9,100,10
"(20, 20)",335,64,0,64,6.4,44384,0.022530642,4438.4,3001,1000,3.001,75416,75.416,90,9,100,10
"(20, 20)",345,210,1,209,21,55417,0.018045004,5541.7,3000,1000,3,92687,92.687,117,11.7,100,10
"(20, 20)",355,125,1,124,12.5,60283,0.016588425,6028.3,3000,1000,3,94220,94.22,116,11.6,100,10
"(20, 20)",365,274,4,270,27.4,70670,0.014150276,7067,3000,1000,3,78397,78.397,96,9.6,100,10
"(20, 20)",400,341,1,340,34.1,104815,0.008891857,10481.5,2796,932,3,85852,85.852,97,9.7,100,10
