Grid Size,Max Colors,Actual colors,Total User Moves count,Total deterministic score,Total Avalanche count,Total non-deterministic score,Total score,Selected Move,Move Score,Avalanche per selected move,Total Moves Available per Game Setting,Experiment Repeat
"(10, 10)",8,8,3564,10974,884,3075,14049,"[(3, 6), (4, 6)]",3,0,50,100
"(10, 10)",8,8,3565,10977,885,3078,14055,"[(4, 3), (5, 3)]",6,1,50,100
"(10, 10)",8,8,3566,10980,886,3084,14064,"[(6, 7), (7, 7)]",9,1,50,100
"(10, 10)",8,8,3567,10983,886,3084,14067,"[(6, 3), (6, 4)]",3,0,50,100
"(10, 10)",8,8,3568,10986,886,3084,14070,"[(6, 8), (7, 8)]",3,0,50,100
"(10, 10)",8,8,3569,10989,886,3084,14073,"[(2, 5), (2, 6)]",3,0,50,100
"(10, 10)",8,8,3570,10992,886,3084,14076,"[(7, 7), (7, 8)]",3,0,50,100
"(10, 10)",8,8,3571,10995,886,3084,14079,"[(6, 8), (7, 8)]",3,0,50,100
"(10, 10)",8,8,3572,10998,887,3090,14088,"[(5, 5), (5, 6)]",9,1,50,100
"(10, 10)",8,8,3573,11001,887,3090,14091,"[(7, 5), (7, 6)]",3,0,50,100
"(10, 10)",8,8,3574,11004,887,3090,14094,"[(7, 5), (7, 6)]",3,0,50,100
"(10, 10)",8,8,3575,11007,887,3090,14097,"[(1, 4), (1, 5)]",3,0,50,100
"(10, 10)",8,8,3576,11010,887,3090,14100,"[(5, 6), (6, 6)]",3,0,50,100
"(10, 10)",8,8,3577,11013,888,3093,14106,"[(2, 6), (3, 6)]",6,1,50,100
"(10, 10)",8,8,3578,11016,888,3093,14109,"[(4, 3), (5, 3)]",3,0,50,100
"(10, 10)",8,8,3579,11022,890,3103,14125,"[(3, 4), (4, 4)]",16,2,50,100
"(10, 10)",8,8,3580,11025,892,3109,14134,"[(4, 6), (4, 7)]",9,2,50,100
"(10, 10)",8,8,3581,11028,892,3109,14137,"[(0, 4), (1, 4)]",3,0,50,100
"(10, 10)",8,8,3582,11031,893,3112,14143,"[(4, 6), (4, 7)]",6,1,50,100
"(10, 10)",8,8,3583,11034,893,3112,14146,"[(6, 6), (6, 7)]",3,0,50,100
"(10, 10)",8,8,3584,11037,893,3112,14149,"[(1, 4), (1, 5)]",3,0,50,100
"(10, 10)",8,8,3585,11040,895,3118,14158,"[(1, 7), (2, 7)]",9,2,50,100
"(10, 10)",8,8,3586,11043,896,3121,14164,"[(6, 7), (7, 7)]",6,1,50,100
"(10, 10)",8,8,3587,11046,896,3121,14167,"[(4, 1), (4, 2)]",3,0,50,100
"(10, 10)",8,8,3588,11049,896,3121,14170,"[(6, 6), (7, 6)]",3,0,50,100
"(10, 10)",8,8,3589,11052,896,3121,14173,"[(0, 1), (1, 1)]",3,0,50,100
"(10, 10)",8,8,3590,11055,897,3124,14179,"[(4, 5), (4, 6)]",6,1,50,100
"(10, 10)",8,8,3591,11058,897,3124,14182,"[(9, 4), (9, 5)]",3,0,50,100
"(10, 10)",8,8,3592,11061,897,3124,14185,"[(6, 3), (7, 3)]",3,0,50,100
"(10, 10)",8,8,3593,11064,897,3124,14188,"[(2, 7), (2, 8)]",3,0,50,100
"(10, 10)",8,8,3594,11067,897,3124,14191,"[(5, 6), (6, 6)]",3,0,50,100
"(10, 10)",8,8,3595,11070,897,3124,14194,"[(0, 4), (1, 4)]",3,0,50,100
"(10, 10)",8,8,3596,11073,899,3131,14204,"[(5, 8), (6, 8)]",10,2,50,100
"(10, 10)",8,8,3597,11076,899,3131,14207,"[(4, 0), (5, 0)]",3,0,50,100
"(10, 10)",8,8,3598,11079,899,3131,14210,"[(5, 4), (5, 5)]",3,0,50,100
"(10, 10)",8,8,3599,11082,899,3131,14213,"[(4, 5), (5, 5)]",3,0,50,100
"(10, 10)",8,8,3600,11085,899,3131,14216,"[(1, 2), (1, 3)]",3,0,50,100
"(10, 10)",8,8,3601,11088,899,3131,14219,"[(1, 7), (2, 7)]",3,0,50,100
"(10, 10)",8,8,3602,11091,899,3131,14222,"[(1, 4), (2, 4)]",3,0,50,100
"(10, 10)",8,8,3603,11094,900,3134,14228,"[(4, 2), (4, 3)]",6,1,50,100
"(10, 10)",8,8,3604,11097,900,3134,14231,"[(0, 2), (1, 2)]",3,0,50,100
"(10, 10)",8,8,3605,11100,900,3134,14234,"[(0, 2), (1, 2)]",3,0,50,100
"(10, 10)",8,8,3606,11103,900,3134,14237,"[(2, 5), (3, 5)]",3,0,50,100
"(10, 10)",8,8,3607,11106,900,3134,14240,"[(3, 5), (4, 5)]",3,0,50,100
"(10, 10)",8,8,3608,11109,900,3134,14243,"[(7, 2), (7, 3)]",3,0,50,100
"(10, 10)",8,8,3609,11112,900,3134,14246,"[(0, 1), (1, 1)]",3,0,50,100
"(10, 10)",8,8,3610,11115,900,3134,14249,"[(0, 1), (0, 2)]",3,0,50,100
"(10, 10)",8,8,3611,11118,902,3143,14261,"[(8, 1), (8, 2)]",12,2,50,100
"(10, 10)",8,8,3612,11121,902,3143,14264,"[(3, 3), (4, 3)]",3,0,50,100
"(10, 10)",8,8,3613,11124,902,3143,14267,"[(7, 2), (8, 2)]",3,0,50,100
"(10, 10)",8,8,3614,11127,902,3143,14270,"[(6, 1), (7, 1)]",3,0,50,100
"(10, 10)",8,8,3615,11130,902,3143,14273,"[(0, 4), (0, 5)]",3,0,50,100
"(10, 10)",8,8,3616,11133,904,3149,14282,"[(5, 8), (5, 9)]",9,2,50,100
"(10, 10)",8,8,3617,11136,904,3149,14285,"[(4, 1), (5, 1)]",3,0,50,100
"(10, 10)",8,8,3618,11139,904,3149,14288,"[(0, 6), (1, 6)]",3,0,50,100
"(10, 10)",8,8,3619,11142,904,3149,14291,"[(1, 9), (2, 9)]",3,0,50,100
"(10, 10)",8,8,3620,11145,904,3149,14294,"[(0, 8), (1, 8)]",3,0,50,100
"(10, 10)",8,8,3621,11148,905,3152,14300,"[(2, 6), (2, 7)]",6,1,50,100
"(10, 10)",8,8,3622,11151,905,3152,14303,"[(2, 7), (3, 7)]",3,0,50,100
"(10, 10)",8,8,3623,11154,905,3152,14306,"[(0, 4), (1, 4)]",3,0,50,100
"(10, 10)",8,8,3624,11157,905,3152,14309,"[(4, 1), (4, 2)]",3,0,50,100
"(10, 10)",8,8,3625,11160,905,3152,14312,"[(3, 7), (4, 7)]",3,0,50,100
"(10, 10)",8,8,3626,11163,906,3155,14318,"[(1, 5), (2, 5)]",6,1,50,100
"(10, 10)",8,8,3627,11166,906,3155,14321,"[(4, 6), (4, 7)]",3,0,50,100
"(10, 10)",8,8,3628,11169,906,3155,14324,"[(4, 5), (4, 6)]",3,0,50,100
"(10, 10)",8,8,3629,11172,906,3155,14327,"[(4, 6), (4, 7)]",3,0,50,100
"(10, 10)",8,8,3630,11175,906,3155,14330,"[(4, 4), (4, 5)]",3,0,50,100
"(10, 10)",8,8,3631,11178,906,3155,14333,"[(4, 4), (5, 4)]",3,0,50,100
"(10, 10)",8,8,3632,11181,907,3158,14339,"[(1, 4), (2, 4)]",6,1,50,100
"(10, 10)",8,8,3633,11184,907,3158,14342,"[(2, 6), (2, 7)]",3,0,50,100
"(10, 10)",8,8,3634,11187,909,3165,14352,"[(2, 6), (3, 6)]",10,2,50,100
"(10, 10)",8,8,3635,11190,909,3165,14355,"[(4, 1), (5, 1)]",3,0,50,100
"(10, 10)",8,8,3636,11193,909,3165,14358,"[(1, 1), (2, 1)]",3,0,50,100
"(10, 10)",8,8,3637,11196,910,3168,14364,"[(0, 0), (0, 1)]",6,1,50,100
"(10, 10)",8,8,3638,11196,911,3171,14367,"[(0, 5), (0, 6)]",3,1,50,100
"(10, 10)",8,8,3639,11199,911,3171,14370,"[(0, 2), (0, 3)]",3,0,50,100
"(10, 10)",8,8,3640,11202,911,3171,14373,"[(4, 6), (5, 6)]",3,0,50,100
"(10, 10)",8,8,3641,11205,912,3174,14379,"[(2, 2), (2, 3)]",6,1,50,100
"(10, 10)",8,8,3642,11211,913,3177,14388,"[(7, 8), (7, 9)]",9,1,50,100
"(10, 10)",8,8,3643,11214,913,3177,14391,"[(2, 6), (3, 6)]",3,0,50,100
"(10, 10)",8,8,3644,11217,913,3177,14394,"[(3, 5), (4, 5)]",3,0,50,100
"(10, 10)",8,8,3645,11220,914,3180,14400,"[(7, 9), (8, 9)]",6,1,50,100
"(10, 10)",8,8,3646,11226,914,3180,14406,"[(1, 5), (2, 5)]",6,0,50,100
"(10, 10)",8,8,3647,11229,914,3180,14409,"[(2, 7), (2, 8)]",3,0,50,100
"(10, 10)",8,8,3648,11232,914,3180,14412,"[(1, 9), (2, 9)]",3,0,50,100
"(10, 10)",8,8,3649,11235,915,3183,14418,"[(1, 3), (1, 4)]",6,1,50,100
"(10, 10)",8,8,3650,11238,915,3183,14421,"[(0, 8), (0, 9)]",3,0,50,100
"(10, 10)",8,8,3651,11241,915,3183,14424,"[(5, 4), (6, 4)]",3,0,50,100
"(10, 10)",8,8,3652,11244,915,3183,14427,"[(7, 0), (7, 1)]",3,0,50,100
"(10, 10)",8,8,3653,11247,915,3183,14430,"[(2, 5), (3, 5)]",3,0,50,100
