Grid Size,Max Colors,Actual colors,Total User Moves count,Total deterministic score,Total Avalanche count,Total non-deterministic score,Total score,Selected Move,Move Score,Avalanche per selected move,Total Moves Available per Game Setting,Experiment Repeat
"(7, 7)",5,5,1655,5376,1139,4396,9772,"[(0, 3), (1, 3)]",4,0,50,100
"(7, 7)",5,5,1656,5379,1139,4396,9775,"[(5, 2), (6, 2)]",3,0,50,100
"(7, 7)",5,5,1657,5382,1139,4396,9778,"[(2, 3), (2, 4)]",3,0,50,100
"(7, 7)",5,5,1658,5385,1140,4399,9784,"[(4, 4), (5, 4)]",6,1,50,100
"(7, 7)",5,5,1659,5388,1140,4399,9787,"[(5, 3), (5, 4)]",3,0,50,100
"(7, 7)",5,5,1660,5391,1140,4399,9790,"[(1, 5), (2, 5)]",3,0,50,100
"(7, 7)",5,5,1661,5397,1140,4399,9796,"[(5, 5), (6, 5)]",6,0,50,100
"(7, 7)",5,5,1662,5400,1140,4399,9799,"[(6, 2), (6, 3)]",3,0,50,100
"(7, 7)",5,5,1663,5403,1140,4399,9802,"[(4, 0), (4, 1)]",3,0,50,100
"(7, 7)",5,5,1664,5406,1140,4399,9805,"[(6, 1), (6, 2)]",3,0,50,100
"(7, 7)",5,5,1665,5409,1140,4399,9808,"[(1, 1), (1, 2)]",3,0,50,100
"(7, 7)",5,5,1666,5412,1140,4399,9811,"[(0, 4), (0, 5)]",3,0,50,100
"(7, 7)",5,5,1667,5415,1141,4405,9820,"[(0, 3), (1, 3)]",9,1,50,100
"(7, 7)",5,5,1668,5418,1141,4405,9823,"[(1, 2), (1, 3)]",3,0,50,100
"(7, 7)",5,5,1669,5422,1142,4408,9830,"[(4, 2), (4, 3)]",7,1,50,100
"(7, 7)",5,5,1670,5425,1143,4411,9836,"[(2, 2), (2, 3)]",6,1,50,100
"(7, 7)",5,5,1671,5428,1143,4411,9839,"[(5, 1), (6, 1)]",3,0,50,100
"(7, 7)",5,5,1672,5431,1143,4411,9842,"[(2, 3), (3, 3)]",3,0,50,100
"(7, 7)",5,5,1673,5434,1143,4411,9845,"[(1, 4), (2, 4)]",3,0,50,100
"(7, 7)",5,5,1674,5437,1143,4411,9848,"[(2, 3), (3, 3)]",3,0,50,100
"(7, 7)",5,5,1675,5440,1143,4411,9851,"[(3, 3), (3, 4)]",3,0,50,100
"(7, 7)",5,5,1676,5443,1143,4411,9854,"[(2, 2), (3, 2)]",3,0,50,100
"(7, 7)",5,5,1677,5446,1143,4411,9857,"[(5, 1), (6, 1)]",3,0,50,100
"(7, 7)",5,5,1678,5449,1143,4411,9860,"[(0, 3), (1, 3)]",3,0,50,100
"(7, 7)",5,5,1679,5452,1143,4411,9863,"[(2, 3), (2, 4)]",3,0,50,100
"(7, 7)",5,5,1680,5455,1144,4414,9869,"[(0, 4), (0, 5)]",6,1,50,100
"(7, 7)",5,5,1681,5458,1146,4421,9879,"[(1, 4), (2, 4)]",10,2,50,100
"(7, 7)",5,5,1682,5461,1146,4421,9882,"[(0, 5), (1, 5)]",3,0,50,100
"(7, 7)",5,5,1683,5464,1147,4424,9888,"[(2, 2), (3, 2)]",6,1,50,100
"(7, 7)",5,5,1684,5467,1148,4427,9894,"[(2, 1), (3, 1)]",6,1,50,100
"(7, 7)",5,5,1685,5470,1148,4427,9897,"[(3, 2), (3, 3)]",3,0,50,100
"(7, 7)",5,5,1686,5473,1148,4427,9900,"[(4, 1), (4, 2)]",3,0,50,100
"(7, 7)",5,5,1687,5476,1148,4427,9903,"[(4, 3), (4, 4)]",3,0,50,100
"(7, 7)",5,5,1688,5479,1149,4430,9909,"[(2, 0), (3, 0)]",6,1,50,100
"(7, 7)",5,5,1689,5482,1149,4430,9912,"[(2, 5), (2, 6)]",3,0,50,100
"(7, 7)",5,5,1690,5485,1152,4439,9924,"[(6, 2), (6, 3)]",12,3,50,100
"(7, 7)",5,5,1691,5488,1153,4442,9930,"[(4, 1), (5, 1)]",6,1,50,100
"(7, 7)",5,5,1692,5491,1153,4442,9933,"[(3, 0), (3, 1)]",3,0,50,100
"(7, 7)",5,5,1693,5494,1154,4445,9939,"[(5, 2), (6, 2)]",6,1,50,100
"(7, 7)",5,5,1694,5497,1154,4445,9942,"[(0, 4), (1, 4)]",3,0,50,100
"(7, 7)",5,5,1695,5500,1155,4448,9948,"[(1, 4), (2, 4)]",6,1,50,100
"(7, 7)",5,5,1696,5503,1155,4448,9951,"[(0, 4), (0, 5)]",3,0,50,100
"(7, 7)",5,5,1697,5506,1155,4448,9954,"[(3, 1), (4, 1)]",3,0,50,100
"(7, 7)",5,5,1698,5509,1157,4454,9963,"[(6, 0), (6, 1)]",9,2,50,100
"(7, 7)",5,5,1699,5512,1157,4454,9966,"[(3, 3), (4, 3)]",3,0,50,100
"(7, 7)",5,5,1700,5515,1157,4454,9969,"[(5, 2), (5, 3)]",3,0,50,100
"(7, 7)",5,5,1701,5518,1158,4457,9975,"[(4, 2), (5, 2)]",6,1,50,100
"(7, 7)",5,5,1702,5521,1159,4460,9981,"[(3, 3), (3, 4)]",6,1,50,100
"(7, 7)",5,5,1703,5524,1159,4460,9984,"[(5, 5), (6, 5)]",3,0,50,100
"(7, 7)",5,5,1704,5530,1159,4460,9990,"[(5, 3), (6, 3)]",6,0,50,100
"(7, 7)",5,5,1705,5533,1160,4463,9996,"[(4, 6), (5, 6)]",6,1,50,100
"(7, 7)",5,5,1706,5537,1163,4480,10017,"[(5, 1), (5, 2)]",21,3,50,100
"(7, 7)",5,5,1707,5543,1164,4483,10026,"[(5, 5), (6, 5)]",9,1,50,100
"(7, 7)",5,5,1708,5546,1165,4486,10032,"[(5, 2), (6, 2)]",6,1,50,100
"(7, 7)",5,5,1709,5549,1165,4486,10035,"[(3, 0), (3, 1)]",3,0,50,100
"(7, 7)",5,5,1710,5552,1165,4486,10038,"[(2, 2), (2, 3)]",3,0,50,100
"(7, 7)",5,5,1711,5555,1166,4489,10044,"[(3, 3), (3, 4)]",6,1,50,100
"(7, 7)",5,5,1712,5558,1166,4489,10047,"[(0, 3), (1, 3)]",3,0,50,100
"(7, 7)",5,5,1713,5561,1169,4498,10059,"[(4, 1), (4, 2)]",12,3,50,100
"(7, 7)",5,5,1714,5565,1170,4501,10066,"[(3, 3), (4, 3)]",7,1,50,100
"(7, 7)",5,5,1715,5568,1170,4501,10069,"[(4, 0), (4, 1)]",3,0,50,100
"(7, 7)",5,5,1716,5571,1170,4501,10072,"[(2, 0), (3, 0)]",3,0,50,100
"(7, 7)",5,5,1717,5574,1170,4501,10075,"[(0, 5), (0, 6)]",3,0,50,100
"(7, 7)",5,5,1718,5577,1171,4507,10084,"[(5, 2), (6, 2)]",9,1,50,100
"(7, 7)",5,5,1719,5580,1173,4516,10096,"[(1, 0), (1, 1)]",12,2,50,100
"(7, 7)",5,5,1720,5583,1174,4519,10102,"[(2, 4), (2, 5)]",6,1,50,100
"(7, 7)",5,5,1721,5586,1175,4522,10108,"[(2, 1), (3, 1)]",6,1,50,100
"(7, 7)",5,5,1722,5589,1175,4522,10111,"[(1, 2), (2, 2)]",3,0,50,100
"(7, 7)",5,5,1723,5592,1175,4522,10114,"[(1, 5), (1, 6)]",3,0,50,100
"(7, 7)",5,5,1724,5595,1175,4522,10117,"[(1, 3), (2, 3)]",3,0,50,100
"(7, 7)",5,5,1725,5601,1175,4522,10123,"[(3, 5), (4, 5)]",6,0,50,100
"(7, 7)",5,5,1726,5604,1175,4522,10126,"[(3, 4), (3, 5)]",3,0,50,100
"(7, 7)",5,5,1727,5607,1176,4525,10132,"[(3, 1), (4, 1)]",6,1,50,100
"(7, 7)",5,5,1728,5612,1176,4525,10137,"[(2, 5), (2, 6)]",5,0,50,100
"(7, 7)",5,5,1729,5615,1176,4525,10140,"[(3, 0), (3, 1)]",3,0,50,100
"(7, 7)",5,5,1730,5618,1177,4528,10146,"[(5, 0), (5, 1)]",6,1,50,100
"(7, 7)",5,5,1731,5621,1177,4528,10149,"[(4, 0), (4, 1)]",3,0,50,100
"(7, 7)",5,5,1732,5624,1177,4528,10152,"[(3, 1), (3, 2)]",3,0,50,100
"(7, 7)",5,5,1733,5627,1177,4528,10155,"[(5, 1), (5, 2)]",3,0,50,100
"(7, 7)",5,5,1734,5630,1177,4528,10158,"[(5, 1), (6, 1)]",3,0,50,100
"(7, 7)",5,5,1735,5633,1178,4531,10164,"[(3, 0), (4, 0)]",6,1,50,100
"(7, 7)",5,5,1736,5639,1178,4531,10170,"[(3, 2), (4, 2)]",6,0,50,100
"(7, 7)",5,5,1737,5643,1178,4531,10174,"[(5, 2), (5, 3)]",4,0,50,100
"(7, 7)",5,5,1738,5646,1179,4538,10184,"[(3, 1), (3, 2)]",10,1,50,100
"(7, 7)",5,5,1739,5652,1179,4538,10190,"[(2, 3), (2, 4)]",6,0,50,100
"(7, 7)",5,5,1740,5655,1181,4544,10199,"[(5, 2), (6, 2)]",9,2,50,100
"(7, 7)",5,5,1741,5658,1181,4544,10202,"[(2, 2), (2, 3)]",3,0,50,100
"(7, 7)",5,5,1742,5661,1181,4544,10205,"[(5, 5), (6, 5)]",3,0,50,100
"(7, 7)",5,5,1743,5664,1181,4544,10208,"[(5, 3), (5, 4)]",3,0,50,100
"(7, 7)",5,5,1744,5667,1183,4550,10217,"[(4, 4), (4, 5)]",9,2,50,100
"(7, 7)",5,5,1745,5671,1183,4550,10221,"[(1, 2), (2, 2)]",4,0,50,100
"(7, 7)",5,5,1746,5674,1183,4550,10224,"[(0, 1), (1, 1)]",3,0,50,100
"(7, 7)",5,5,1747,5678,1183,4550,10228,"[(0, 4), (1, 4)]",4,0,50,100
"(7, 7)",5,5,1748,5681,1183,4550,10231,"[(4, 0), (5, 0)]",3,0,50,100
"(7, 7)",5,5,1749,5684,1183,4550,10234,"[(5, 1), (5, 2)]",3,0,50,100
"(7, 7)",5,5,1750,5687,1183,4550,10237,"[(4, 3), (5, 3)]",3,0,50,100
"(7, 7)",5,5,1751,5690,1183,4550,10240,"[(3, 3), (3, 4)]",3,0,50,100
"(7, 7)",5,5,1752,5693,1184,4553,10246,"[(0, 3), (1, 3)]",6,1,50,100
"(7, 7)",5,5,1753,5696,1184,4553,10249,"[(4, 0), (5, 0)]",3,0,50,100
"(7, 7)",5,5,1754,5699,1184,4553,10252,"[(6, 0), (6, 1)]",3,0,50,100
"(7, 7)",5,5,1755,5702,1185,4557,10259,"[(2, 2), (2, 3)]",7,1,50,100
"(7, 7)",5,5,1756,5705,1186,4560,10265,"[(1, 1), (2, 1)]",6,1,50,100
"(7, 7)",5,5,1757,5711,1187,4563,10274,"[(3, 1), (3, 2)]",9,1,50,100
"(7, 7)",5,5,1758,5714,1188,4566,10280,"[(6, 2), (6, 3)]",6,1,50,100
"(7, 7)",5,5,1759,5717,1189,4569,10286,"[(3, 0), (3, 1)]",6,1,50,100
"(7, 7)",5,5,1760,5720,1189,4569,10289,"[(1, 2), (2, 2)]",3,0,50,100
"(7, 7)",5,5,1761,5723,1189,4569,10292,"[(2, 5), (2, 6)]",3,0,50,100
"(7, 7)",5,5,1762,5726,1189,4569,10295,"[(5, 2), (5, 3)]",3,0,50,100
"(7, 7)",5,5,1763,5729,1189,4569,10298,"[(4, 3), (5, 3)]",3,0,50,100
"(7, 7)",5,5,1764,5732,1189,4569,10301,"[(4, 3), (4, 4)]",3,0,50,100
"(7, 7)",5,5,1765,5735,1190,4572,10307,"[(3, 0), (3, 1)]",6,1,50,100
"(7, 7)",5,5,1766,5738,1190,4572,10310,"[(4, 4), (5, 4)]",3,0,50,100
"(7, 7)",5,5,1767,5741,1190,4572,10313,"[(2, 1), (3, 1)]",3,0,50,100
"(7, 7)",5,5,1768,5744,1191,4575,10319,"[(1, 0), (1, 1)]",6,1,50,100
"(7, 7)",5,5,1769,5747,1192,4579,10326,"[(5, 3), (5, 4)]",7,1,50,100
"(7, 7)",5,5,1770,5750,1195,4588,10338,"[(1, 2), (2, 2)]",12,3,50,100
"(7, 7)",5,5,1771,5753,1196,4592,10345,"[(1, 4), (1, 5)]",7,1,50,100
"(7, 7)",5,5,1772,5756,1196,4592,10348,"[(1, 2), (2, 2)]",3,0,50,100
"(7, 7)",5,5,1773,5759,1197,4596,10355,"[(3, 3), (4, 3)]",7,1,50,100
"(7, 7)",5,5,1774,5762,1197,4596,10358,"[(0, 5), (0, 6)]",3,0,50,100
"(7, 7)",5,5,1775,5765,1197,4596,10361,"[(2, 1), (2, 2)]",3,0,50,100
"(7, 7)",5,5,1776,5768,1197,4596,10364,"[(4, 1), (5, 1)]",3,0,50,100
"(7, 7)",5,5,1777,5776,1198,4599,10375,"[(3, 5), (4, 5)]",11,1,50,100
"(7, 7)",5,5,1778,5779,1198,4599,10378,"[(1, 4), (2, 4)]",3,0,50,100
"(7, 7)",5,5,1779,5782,1198,4599,10381,"[(1, 4), (2, 4)]",3,0,50,100
"(7, 7)",5,5,1780,5785,1198,4599,10384,"[(2, 2), (3, 2)]",3,0,50,100
"(7, 7)",5,5,1781,5788,1198,4599,10387,"[(0, 5), (0, 6)]",3,0,50,100
"(7, 7)",5,5,1782,5791,1199,4602,10393,"[(1, 4), (2, 4)]",6,1,50,100
"(7, 7)",5,5,1783,5794,1200,4605,10399,"[(5, 2), (6, 2)]",6,1,50,100
"(7, 7)",5,5,1784,5797,1200,4605,10402,"[(3, 3), (4, 3)]",3,0,50,100
"(7, 7)",5,5,1785,5800,1202,4611,10411,"[(2, 2), (3, 2)]",9,2,50,100
"(7, 7)",5,5,1786,5803,1202,4611,10414,"[(2, 3), (3, 3)]",3,0,50,100
"(7, 7)",5,5,1787,5806,1202,4611,10417,"[(1, 1), (2, 1)]",3,0,50,100
"(7, 7)",5,5,1788,5809,1207,4629,10438,"[(4, 2), (4, 3)]",21,5,50,100
"(7, 7)",5,5,1789,5812,1207,4629,10441,"[(0, 3), (0, 4)]",3,0,50,100
"(7, 7)",5,5,1790,5815,1207,4629,10444,"[(0, 4), (0, 5)]",3,0,50,100
"(7, 7)",5,5,1791,5818,1208,4632,10450,"[(0, 4), (1, 4)]",6,1,50,100
"(7, 7)",5,5,1792,5821,1208,4632,10453,"[(4, 2), (5, 2)]",3,0,50,100
"(7, 7)",5,5,1793,5824,1208,4632,10456,"[(2, 1), (2, 2)]",3,0,50,100
"(7, 7)",5,5,1794,5827,1208,4632,10459,"[(2, 0), (2, 1)]",3,0,50,100
"(7, 7)",5,5,1795,5830,1211,4644,10474,"[(3, 0), (3, 1)]",15,3,50,100
"(7, 7)",5,5,1796,5833,1211,4644,10477,"[(4, 2), (4, 3)]",3,0,50,100
"(7, 7)",5,5,1797,5836,1211,4644,10480,"[(2, 5), (2, 6)]",3,0,50,100
"(7, 7)",5,5,1798,5839,1211,4644,10483,"[(6, 3), (6, 4)]",3,0,50,100
"(7, 7)",5,5,1799,5842,1213,4650,10492,"[(2, 0), (2, 1)]",9,2,50,100
"(7, 7)",5,5,1800,5845,1214,4653,10498,"[(3, 3), (3, 4)]",6,1,50,100
"(7, 7)",5,5,1801,5848,1216,4659,10507,"[(3, 1), (3, 2)]",9,2,50,100
"(7, 7)",5,5,1802,5851,1217,4662,10513,"[(5, 1), (5, 2)]",6,1,50,100
"(7, 7)",5,5,1803,5854,1218,4665,10519,"[(5, 6), (6, 6)]",6,1,50,100
"(7, 7)",5,5,1804,5857,1220,4671,10528,"[(5, 3), (5, 4)]",9,2,50,100
"(7, 7)",5,5,1805,5860,1220,4671,10531,"[(3, 4), (3, 5)]",3,0,50,100
"(7, 7)",5,5,1806,5863,1220,4671,10534,"[(2, 0), (2, 1)]",3,0,50,100
"(7, 7)",5,5,1807,5866,1221,4676,10542,"[(4, 1), (5, 1)]",8,1,50,100
"(7, 7)",5,5,1808,5869,1222,4679,10548,"[(1, 0), (1, 1)]",6,1,50,100
"(7, 7)",5,5,1809,5872,1222,4679,10551,"[(4, 2), (5, 2)]",3,0,50,100
"(7, 7)",5,5,1810,5875,1224,4685,10560,"[(6, 3), (6, 4)]",9,2,50,100
"(7, 7)",5,5,1811,5878,1225,4688,10566,"[(1, 3), (2, 3)]",6,1,50,100
"(7, 7)",5,5,1812,5881,1225,4688,10569,"[(6, 3), (6, 4)]",3,0,50,100
"(7, 7)",5,5,1813,5884,1226,4691,10575,"[(1, 1), (1, 2)]",6,1,50,100
"(7, 7)",5,5,1814,5887,1229,4700,10587,"[(5, 6), (6, 6)]",12,3,50,100
"(7, 7)",5,5,1815,5890,1230,4711,10601,"[(4, 2), (4, 3)]",14,1,50,100
"(7, 7)",5,5,1816,5893,1230,4711,10604,"[(4, 2), (5, 2)]",3,0,50,100
"(7, 7)",5,5,1817,5896,1230,4711,10607,"[(1, 4), (1, 5)]",3,0,50,100
"(7, 7)",5,5,1818,5899,1232,4717,10616,"[(0, 0), (0, 1)]",9,2,50,100
"(7, 7)",5,5,1819,5902,1232,4717,10619,"[(0, 3), (1, 3)]",3,0,50,100
"(7, 7)",5,5,1820,5905,1232,4717,10622,"[(1, 3), (1, 4)]",3,0,50,100
"(7, 7)",5,5,1821,5908,1232,4717,10625,"[(2, 1), (3, 1)]",3,0,50,100
"(7, 7)",5,5,1822,5911,1232,4717,10628,"[(1, 1), (1, 2)]",3,0,50,100
"(7, 7)",5,5,1823,5914,1232,4717,10631,"[(2, 3), (3, 3)]",3,0,50,100
"(7, 7)",5,5,1824,5917,1235,4730,10647,"[(3, 4), (4, 4)]",16,3,50,100
"(7, 7)",5,5,1825,5920,1236,4733,10653,"[(3, 5), (3, 6)]",6,1,50,100
"(7, 7)",5,5,1826,5924,1236,4733,10657,"[(2, 5), (3, 5)]",4,0,50,100
"(7, 7)",5,5,1827,5927,1236,4733,10660,"[(5, 0), (6, 0)]",3,0,50,100
"(7, 7)",5,5,1828,5930,1236,4733,10663,"[(3, 0), (3, 1)]",3,0,50,100
"(7, 7)",5,5,1829,5933,1236,4733,10666,"[(5, 1), (6, 1)]",3,0,50,100
"(7, 7)",5,5,1830,5936,1238,4739,10675,"[(1, 4), (2, 4)]",9,2,50,100
"(7, 7)",5,5,1831,5939,1238,4739,10678,"[(0, 2), (1, 2)]",3,0,50,100
"(7, 7)",5,5,1832,5942,1238,4739,10681,"[(1, 0), (2, 0)]",3,0,50,100
"(7, 7)",5,5,1833,5945,1240,4748,10693,"[(0, 1), (0, 2)]",12,2,50,100
"(7, 7)",5,5,1834,5948,1240,4748,10696,"[(3, 3), (4, 3)]",3,0,50,100
"(7, 7)",5,5,1835,5951,1241,4751,10702,"[(1, 2), (1, 3)]",6,1,50,100
"(7, 7)",5,5,1836,5954,1241,4751,10705,"[(1, 3), (2, 3)]",3,0,50,100
"(7, 7)",5,5,1837,5958,1242,4754,10712,"[(3, 4), (3, 5)]",7,1,50,100
"(7, 7)",5,5,1838,5961,1243,4757,10718,"[(2, 4), (2, 5)]",6,1,50,100
"(7, 7)",5,5,1839,5964,1243,4757,10721,"[(2, 1), (3, 1)]",3,0,50,100
"(7, 7)",5,5,1840,5967,1243,4757,10724,"[(1, 2), (1, 3)]",3,0,50,100
"(7, 7)",5,5,1841,5970,1243,4757,10727,"[(3, 1), (3, 2)]",3,0,50,100
"(7, 7)",5,5,1842,5973,1244,4760,10733,"[(2, 5), (2, 6)]",6,1,50,100
"(7, 7)",5,5,1843,5977,1245,4763,10740,"[(4, 2), (4, 3)]",7,1,50,100
"(7, 7)",5,5,1844,5980,1245,4763,10743,"[(2, 2), (3, 2)]",3,0,50,100
"(7, 7)",5,5,1845,5983,1246,4768,10751,"[(1, 5), (2, 5)]",8,1,50,100
"(7, 7)",5,5,1846,5986,1246,4768,10754,"[(1, 2), (2, 2)]",3,0,50,100
"(7, 7)",5,5,1847,5989,1247,4771,10760,"[(3, 3), (4, 3)]",6,1,50,100
"(7, 7)",5,5,1848,5992,1248,4774,10766,"[(2, 3), (3, 3)]",6,1,50,100
"(7, 7)",5,5,1849,5995,1249,4777,10772,"[(3, 2), (3, 3)]",6,1,50,100
"(7, 7)",5,5,1850,5998,1249,4777,10775,"[(3, 1), (3, 2)]",3,0,50,100
"(7, 7)",5,5,1851,6001,1252,4795,10796,"[(5, 3), (6, 3)]",21,3,50,100
"(7, 7)",5,5,1852,6004,1252,4795,10799,"[(4, 3), (4, 4)]",3,0,50,100
"(7, 7)",5,5,1853,6007,1253,4802,10809,"[(4, 4), (4, 5)]",10,1,50,100
"(7, 7)",5,5,1854,6010,1254,4805,10815,"[(1, 3), (2, 3)]",6,1,50,100
"(7, 7)",5,5,1855,6013,1254,4805,10818,"[(1, 3), (1, 4)]",3,0,50,100
"(7, 7)",5,5,1856,6016,1254,4805,10821,"[(2, 1), (3, 1)]",3,0,50,100
"(7, 7)",5,5,1857,6020,1254,4805,10825,"[(2, 2), (3, 2)]",4,0,50,100
"(7, 7)",5,5,1858,6023,1255,4808,10831,"[(5, 4), (6, 4)]",6,1,50,100
"(7, 7)",5,5,1859,6026,1255,4808,10834,"[(4, 1), (4, 2)]",3,0,50,100
"(7, 7)",5,5,1860,6029,1255,4808,10837,"[(3, 4), (3, 5)]",3,0,50,100
"(7, 7)",5,5,1861,6035,1255,4808,10843,"[(4, 4), (5, 4)]",6,0,50,100
"(7, 7)",5,5,1862,6039,1256,4814,10853,"[(5, 3), (5, 4)]",10,1,50,100
"(7, 7)",5,5,1863,6042,1258,4823,10865,"[(5, 2), (6, 2)]",12,2,50,100
"(7, 7)",5,5,1864,6046,1259,4826,10872,"[(4, 3), (4, 4)]",7,1,50,100
"(7, 7)",5,5,1865,6052,1259,4826,10878,"[(4, 3), (4, 4)]",6,0,50,100
"(7, 7)",5,5,1866,6055,1259,4826,10881,"[(2, 1), (2, 2)]",3,0,50,100
"(7, 7)",5,5,1867,6058,1259,4826,10884,"[(4, 4), (5, 4)]",3,0,50,100
"(7, 7)",5,5,1868,6061,1259,4826,10887,"[(5, 3), (5, 4)]",3,0,50,100
"(7, 7)",5,5,1869,6064,1261,4833,10897,"[(3, 4), (3, 5)]",10,2,50,100
"(7, 7)",5,5,1870,6067,1261,4833,10900,"[(3, 3), (3, 4)]",3,0,50,100
"(7, 7)",5,5,1871,6070,1261,4833,10903,"[(5, 5), (6, 5)]",3,0,50,100
"(7, 7)",5,5,1872,6076,1261,4833,10909,"[(5, 5), (5, 6)]",6,0,50,100
"(7, 7)",5,5,1873,6079,1261,4833,10912,"[(4, 2), (5, 2)]",3,0,50,100
"(7, 7)",5,5,1874,6082,1262,4836,10918,"[(3, 3), (3, 4)]",6,1,50,100
"(7, 7)",5,5,1875,6085,1264,4844,10929,"[(5, 2), (6, 2)]",11,2,50,100
"(7, 7)",5,5,1876,6088,1264,4844,10932,"[(6, 2), (6, 3)]",3,0,50,100
"(7, 7)",5,5,1877,6094,1271,4891,10985,"[(0, 5), (1, 5)]",53,7,50,100
"(7, 7)",5,5,1878,6097,1271,4891,10988,"[(4, 2), (4, 3)]",3,0,50,100
"(7, 7)",5,5,1879,6100,1271,4891,10991,"[(1, 5), (2, 5)]",3,0,50,100
"(7, 7)",5,5,1880,6103,1271,4891,10994,"[(2, 5), (3, 5)]",3,0,50,100
"(7, 7)",5,5,1881,6106,1272,4894,11000,"[(4, 5), (5, 5)]",6,1,50,100
"(7, 7)",5,5,1882,6109,1272,4894,11003,"[(0, 0), (0, 1)]",3,0,50,100
"(7, 7)",5,5,1883,6112,1272,4894,11006,"[(0, 0), (1, 0)]",3,0,50,100
"(7, 7)",5,5,1884,6118,1275,4917,11035,"[(3, 3), (4, 3)]",29,3,50,100
"(7, 7)",5,5,1885,6121,1275,4917,11038,"[(5, 3), (6, 3)]",3,0,50,100
"(7, 7)",5,5,1886,6124,1275,4917,11041,"[(1, 3), (2, 3)]",3,0,50,100
"(7, 7)",5,5,1887,6127,1277,4924,11051,"[(4, 2), (4, 3)]",10,2,50,100
"(7, 7)",5,5,1888,6130,1277,4924,11054,"[(4, 5), (4, 6)]",3,0,50,100
"(7, 7)",5,5,1889,6133,1277,4924,11057,"[(0, 0), (0, 1)]",3,0,50,100
"(7, 7)",5,5,1890,6136,1278,4927,11063,"[(3, 2), (3, 3)]",6,1,50,100
"(7, 7)",5,5,1891,6139,1278,4927,11066,"[(3, 0), (3, 1)]",3,0,50,100
"(7, 7)",5,5,1892,6142,1278,4927,11069,"[(0, 4), (1, 4)]",3,0,50,100
"(7, 7)",5,5,1893,6145,1279,4930,11075,"[(0, 5), (1, 5)]",6,1,50,100
"(7, 7)",5,5,1894,6148,1279,4930,11078,"[(0, 2), (0, 3)]",3,0,50,100
"(7, 7)",5,5,1895,6151,1279,4930,11081,"[(4, 4), (5, 4)]",3,0,50,100
"(7, 7)",5,5,1896,6154,1279,4930,11084,"[(3, 2), (4, 2)]",3,0,50,100
"(7, 7)",5,5,1897,6157,1280,4933,11090,"[(5, 0), (5, 1)]",6,1,50,100
"(7, 7)",5,5,1898,6160,1281,4936,11096,"[(2, 4), (3, 4)]",6,1,50,100
"(7, 7)",5,5,1899,6163,1282,4940,11103,"[(2, 1), (3, 1)]",7,1,50,100
"(7, 7)",5,5,1900,6166,1283,4943,11109,"[(3, 3), (4, 3)]",6,1,50,100
"(7, 7)",5,5,1901,6172,1285,4954,11126,"[(2, 3), (3, 3)]",17,2,50,100
"(7, 7)",5,5,1902,6175,1286,4960,11135,"[(2, 1), (2, 2)]",9,1,50,100
"(7, 7)",5,5,1903,6178,1286,4960,11138,"[(2, 4), (2, 5)]",3,0,50,100
"(7, 7)",5,5,1904,6181,1286,4960,11141,"[(2, 3), (3, 3)]",3,0,50,100
"(7, 7)",5,5,1905,6184,1286,4960,11144,"[(0, 2), (1, 2)]",3,0,50,100
"(7, 7)",5,5,1906,6187,1287,4963,11150,"[(1, 5), (2, 5)]",6,1,50,100
"(7, 7)",5,5,1907,6190,1287,4963,11153,"[(2, 1), (3, 1)]",3,0,50,100
"(7, 7)",5,5,1908,6193,1288,4966,11159,"[(4, 4), (5, 4)]",6,1,50,100
"(7, 7)",5,5,1909,6196,1288,4966,11162,"[(3, 3), (3, 4)]",3,0,50,100
"(7, 7)",5,5,1910,6199,1289,4970,11169,"[(2, 5), (2, 6)]",7,1,50,100
"(7, 7)",5,5,1911,6205,1289,4970,11175,"[(0, 3), (1, 3)]",6,0,50,100
"(7, 7)",5,5,1912,6208,1290,4973,11181,"[(5, 3), (5, 4)]",6,1,50,100
"(7, 7)",5,5,1913,6211,1291,4976,11187,"[(3, 2), (3, 3)]",6,1,50,100
"(7, 7)",5,5,1914,6214,1295,4997,11211,"[(2, 4), (2, 5)]",24,4,50,100
"(7, 7)",5,5,1915,6217,1297,5013,11230,"[(2, 4), (3, 4)]",19,2,50,100
"(7, 7)",5,5,1916,6220,1297,5013,11233,"[(2, 0), (3, 0)]",3,0,50,100
"(7, 7)",5,5,1917,6226,1301,5033,11259,"[(2, 3), (3, 3)]",26,4,50,100
"(7, 7)",5,5,1918,6229,1304,5050,11279,"[(4, 5), (5, 5)]",20,3,50,100
"(7, 7)",5,5,1919,6232,1305,5053,11285,"[(5, 3), (5, 4)]",6,1,50,100
"(7, 7)",5,5,1920,6238,1308,5072,11310,"[(4, 4), (4, 5)]",25,3,50,100
"(7, 7)",5,5,1921,6241,1310,5082,11323,"[(1, 5), (2, 5)]",13,2,50,100
"(7, 7)",5,5,1922,6244,1311,5085,11329,"[(0, 4), (1, 4)]",6,1,50,100
"(7, 7)",5,5,1923,6247,1311,5085,11332,"[(3, 5), (4, 5)]",3,0,50,100
"(7, 7)",5,5,1924,6250,1313,5091,11341,"[(1, 3), (1, 4)]",9,2,50,100
"(7, 7)",5,5,1925,6253,1313,5091,11344,"[(3, 0), (3, 1)]",3,0,50,100
"(7, 7)",5,5,1926,6258,1313,5091,11349,"[(2, 3), (3, 3)]",5,0,50,100
