Agent,Grid Size,Number of Colors,Mean regenerations during init,Median regenerations during init,Mean Matches Occurred during init,Median Matches Occurred during init,Mean Deadlocks during init,Median Deadlocks during init,Mean Shuffles/Deadlocks Occurred per move,Median Shuffles/Deadlocks Occurred per move,Mean Shuffles/Deadlocks Occurred per game,Median Shuffles/Deadlocks Occurred per game,Mean score per Game Setting,Median score per Game Setting,Mean Valid Moves Made,Median Valid Moves Made,Mean Possible/Playable Moves per config,Median Possible/Playable Moves per config,Mean Avalanche Matches per game,Median Avalanche Matches per game,Mean deterministic score after first move,Median deterministic score after first move,Std deterministic score after first move,Mean non-deterministic score after first move,Median non-deterministic score after first move,Mean avalanche matches after first move,Median avalanche matches after first move
top_agent,"(10, 10)",18,0.73,0.0,0.22,0.0,0.5,0.0,0.25,0.26,2.54,2.6,32.38,32.16,10.0,10.0,17.25,17.7,1.2,1.16,3.02,3.0,0.23,0.19,0.06,0.06,0.02
top_agent,"(10, 10)",20,0.62,0.0,0.2,0.0,0.42,0.0,0.33,0.34,3.29,3.4,31.91,31.72,10.0,10.0,18.63,18.99,1.16,1.12,3.03,3.0,0.3,0.15,0.0,0.05,0.0
top_agent,"(15, 15)",15,4.2,3.0,3.4,2.0,0.8,1.0,0.02,0.0,0.16,0.0,33.69,33.13,10.0,10.0,12.38,8.72,1.06,0.8,3.06,3.0,0.33,0.2,0.06,0.07,0.02
top_agent,"(15, 15)",20,1.62,1.0,1.01,0.0,0.6,1.0,0.09,0.1,0.93,1.03,32.68,32.32,10.0,10.0,27.02,28.84,1.02,1.0,3.0,3.0,0.07,0.19,0.0,0.06,0.0
top_agent,"(15, 15)",25,0.9,0.0,0.46,0.0,0.44,0.0,0.17,0.17,1.7,1.72,31.83,31.58,10.0,10.0,33.76,34.18,0.94,0.9,3.04,3.0,0.26,0.13,0.0,0.04,0.0
top_agent,"(15, 15)",30,0.57,0.0,0.18,0.0,0.4,0.0,0.28,0.29,2.79,2.9,31.47,31.3,10.0,10.0,40.08,40.57,1.03,1.0,3.01,3.0,0.1,0.11,0.0,0.03,0.0
top_agent,"(20, 20)",20,5.16,3.0,4.35,2.0,0.81,1.0,0.01,0.0,0.14,0.0,32.72,31.95,10.0,10.0,16.11,9.54,0.79,0.47,3.02,3.0,0.16,0.12,0.0,0.04,0.0
top_agent,"(20, 20)",25,2.07,1.0,1.37,0.0,0.7,1.0,0.07,0.09,0.66,0.88,32.16,31.88,10.0,10.0,38.1,45.08,0.8,0.81,3.04,3.0,0.25,0.13,0.0,0.04,0.0
top_agent,"(20, 20)",30,1.0,0.0,0.53,0.0,0.48,0.0,0.12,0.12,1.24,1.25,31.75,31.52,10.0,10.0,52.65,53.12,0.84,0.81,3.02,3.0,0.12,0.04,0.0,0.01,0.0
top_agent,"(20, 20)",35,0.8,0.0,0.34,0.0,0.47,0.0,0.18,0.19,1.84,1.9,31.41,31.26,10.0,10.0,61.76,63.05,0.88,0.87,3.01,3.0,0.1,0.05,0.0,0.02,0.0
top_agent,"(20, 20)",40,0.51,0.0,0.13,0.0,0.38,0.0,0.26,0.27,2.61,2.68,31.13,31.04,10.0,10.0,71.01,71.86,0.93,0.92,3.01,3.0,0.1,0.04,0.0,0.01,0.0
top_agent,"(20, 20)",45,0.76,0.0,0.24,0.0,0.52,0.0,0.34,0.35,3.38,3.5,30.92,30.9,10.0,10.0,74.87,77.26,0.93,0.94,3.02,3.0,0.19,0.02,0.0,0.01,0.0
top_agent,"(20, 20)",50,0.64,0.0,0.22,0.0,0.42,0.0,0.42,0.43,4.23,4.3,30.88,30.72,10.0,10.0,78.68,78.61,0.99,0.98,3.0,3.0,0.07,0.04,0.0,0.01,0.0
bottom_agent,"(5, 5)",5,1.96,1.0,1.3,0.0,0.66,1.0,0.02,0.01,0.17,0.14,50.29,49.83,10.0,10.0,4.88,4.87,5.08,5.03,3.26,3.0,0.87,2.1,1.22,0.56,0.38
bottom_agent,"(5, 5)",6,1.11,1.0,0.56,0.0,0.55,1.0,0.07,0.07,0.72,0.68,42.24,41.71,10.0,10.0,4.29,4.3,3.36,3.28,3.14,3.0,0.51,1.2,0.75,0.34,0.24
bottom_agent,"(5, 5)",7,1.0,0.0,0.46,0.0,0.54,0.0,0.16,0.16,1.63,1.58,38.34,37.89,10.0,10.0,4.38,4.34,2.57,2.47,3.05,3.0,0.33,0.82,0.48,0.25,0.16
bottom_agent,"(5, 5)",8,1.02,1.0,0.38,0.0,0.64,1.0,0.28,0.28,2.77,2.78,36.09,35.81,10.0,10.0,4.59,4.57,2.09,2.02,3.12,3.0,0.53,0.57,0.34,0.17,0.1
bottom_agent,"(5, 5)",9,0.71,0.0,0.18,0.0,0.54,0.0,0.42,0.43,4.2,4.28,34.5,34.42,10.0,10.0,4.79,4.78,1.79,1.76,3.05,3.0,0.28,0.36,0.18,0.11,0.06
bottom_agent,"(5, 5)",10,0.64,0.0,0.13,0.0,0.52,0.0,0.58,0.58,5.8,5.77,33.73,33.53,10.0,10.0,4.89,4.89,1.64,1.62,3.1,3.0,0.46,0.36,0.12,0.12,0.04
bottom_agent,"(10, 10)",10,3.32,2.0,2.56,1.0,0.76,1.0,0.03,0.02,0.29,0.17,38.16,37.33,10.0,10.0,9.43,8.38,2.25,2.13,3.11,3.0,0.47,0.92,0.36,0.26,0.12
bottom_agent,"(10, 10)",12,1.6,1.0,0.96,0.0,0.64,1.0,0.08,0.08,0.76,0.8,35.41,34.84,10.0,10.0,12.36,12.5,1.69,1.62,3.08,3.0,0.39,0.57,0.12,0.17,0.04
