Agent,Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Total No. of Times Matches Occurred during init,Total No. of Deadlocks during init,Total No. of Shuffles/Deadlocks Occurred,Avg No. of Shuffles/Deadlocks Occurred per move,Avg No. of Shuffles/Deadlocks Occurred per game,Total score per Game Setting,Avg score per Game Setting,Total Valid Moves Made,Avg Valid Moves Made,Total No. of Possible/Playable Moves,Avg No. of Possible/Playable Moves per config,Total No. of Avalanche Matches,Avg No. of Avalanche Matches per game,Total Moves Available per Game Setting,Total deterministic score after first move,Avg deterministic score after first move,Total non-deterministic score after first move,Avg non-deterministic score after first move,Total avalanche count after first move
top_agent,"(5, 5)",4,14,13,1,0,0,0,2929,58.58,500,10,4258,8.516,345,6.9,10,150,3,181,3.62,45
bottom_agent,"(5, 5)",4,14,13,1,0,0,0,3494,69.88,500,10,3485,6.97,464,9.28,10,150,3,66,1.32,20
top_agent,"(5, 5)",4,0,0,0,1,0.002,0.02,3105,62.1,500,10,3540,7.08,373,7.46,10,150,3,155,3.1,44
bottom_agent,"(5, 5)",4,0,0,0,2,0.004,0.04,3479,69.58,500,10,3570,7.14,466,9.32,10,150,3,230,4.6,57
top_agent,"(5, 5)",4,3,2,1,0,0,0,2797,55.94,500,10,3596,7.192,309,6.18,10,150,3,15,0.3,5
bottom_agent,"(5, 5)",4,3,2,1,1,0.002,0.02,3489,69.78,500,10,3750,7.5,430,8.6,10,150,3,71,1.42,23
top_agent,"(5, 5)",4,1,0,1,0,0,0,3129,62.58,500,10,3489,6.978,386,7.72,10,150,3,129,2.58,37
bottom_agent,"(5, 5)",4,1,0,1,1,0.002,0.02,3327,66.54,500,10,3745,7.49,423,8.46,10,150,3,123,2.46,33
top_agent,"(5, 5)",4,4,3,1,0,0,0,2485,49.7,500,10,3747,7.494,241,4.82,10,150,3,20,0.4,6
bottom_agent,"(5, 5)",4,4,3,1,0,0,0,3763,75.26,500,10,3821,7.642,519,10.38,10,150,3,315,6.3,73
top_agent,"(5, 5)",4,6,5,1,0,0,0,2993,59.86,500,10,3571,7.142,336,6.72,10,150,3,52,1.04,16
bottom_agent,"(5, 5)",4,6,5,1,0,0,0,3376,67.52,500,10,3531,7.062,416,8.32,10,200,4,35,0.7,11
top_agent,"(5, 5)",4,18,17,1,0,0,0,3195,63.9,500,10,3689,7.378,343,6.86,10,350,7,154,3.08,41
bottom_agent,"(5, 5)",4,18,17,1,0,0,0,4075,81.5,500,10,3905,7.81,560,11.2,10,150,3,740,14.8,139
top_agent,"(5, 5)",4,3,2,1,0,0,0,3333,66.66,500,10,3931,7.862,447,8.94,10,150,3,295,5.9,78
bottom_agent,"(5, 5)",4,3,2,1,2,0.004,0.04,3053,61.06,500,10,3181,6.362,369,7.38,10,150,3,98,1.96,28
top_agent,"(5, 5)",4,0,0,0,0,0,0,3076,61.52,500,10,3662,7.324,381,7.62,10,150,3,90,1.8,27
bottom_agent,"(5, 5)",4,0,0,0,0,0,0,4081,81.62,500,10,3765,7.53,520,10.4,10,300,6,652,13.04,122
top_agent,"(5, 5)",4,31,30,1,1,0.002,0.02,2991,59.82,500,10,3876,7.752,348,6.96,10,150,3,20,0.4,6
bottom_agent,"(5, 5)",4,31,30,1,0,0,0,3219,64.38,500,10,3588,7.176,395,7.9,10,150,3,234,4.68,68
top_agent,"(5, 5)",4,4,3,1,0,0,0,2950,59,500,10,3324,6.648,343,6.86,10,150,3,75,1.5,23
bottom_agent,"(5, 5)",4,4,3,1,0,0,0,3352,67.04,500,10,3498,6.996,432,8.64,10,150,3,165,3.3,45
top_agent,"(5, 5)",4,5,4,1,0,0,0,2869,57.38,500,10,3783,7.566,303,6.06,10,200,4,59,1.18,18
bottom_agent,"(5, 5)",4,5,4,1,0,0,0,3796,75.92,500,10,3615,7.23,519,10.38,10,150,3,495,9.9,95
top_agent,"(5, 5)",4,1,0,1,0,0,0,2710,54.2,500,10,3634,7.268,286,5.72,10,150,3,16,0.32,5
bottom_agent,"(5, 5)",4,1,0,1,0,0,0,3053,61.06,500,10,3677,7.354,361,7.22,10,150,3,28,0.56,9
top_agent,"(5, 5)",4,6,5,1,0,0,0,3008,60.16,500,10,3277,6.554,349,6.98,10,200,4,173,3.46,50
bottom_agent,"(5, 5)",4,6,5,1,1,0.002,0.02,3807,76.14,500,10,3538,7.076,517,10.34,10,150,3,377,7.54,103
top_agent,"(5, 5)",4,8,7,1,1,0.002,0.02,3007,60.14,500,10,3767,7.534,346,6.92,10,150,3,122,2.44,34
bottom_agent,"(5, 5)",4,8,7,1,1,0.002,0.02,3201,64.02,500,10,4091,8.182,380,7.6,10,150,3,76,1.52,22
top_agent,"(5, 5)",4,9,8,1,0,0,0,3002,60.04,500,10,3695,7.39,335,6.7,10,150,3,260,5.2,54
bottom_agent,"(5, 5)",4,9,8,1,1,0.002,0.02,3419,68.38,500,10,3581,7.162,442,8.84,10,150,3,148,2.96,39
top_agent,"(5, 5)",4,2,1,1,0,0,0,2773,55.46,500,10,3898,7.796,285,5.7,10,150,3,10,0.2,3
bottom_agent,"(5, 5)",4,2,1,1,0,0,0,3489,69.78,500,10,3783,7.566,473,9.46,10,150,3,319,6.38,82
top_agent,"(5, 5)",4,2,1,1,0,0,0,2925,58.5,500,10,3851,7.702,339,6.78,10,150,3,161,3.22,48
bottom_agent,"(5, 5)",4,2,1,1,1,0.002,0.02,3984,79.68,500,10,3645,7.29,492,9.84,10,150,3,82,1.64,25
top_agent,"(5, 5)",4,3,2,1,0,0,0,2911,58.22,500,10,3277,6.554,321,6.42,10,150,3,49,0.98,13
