Agent,Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Total No. of Times Matches Occurred during init,Total No. of Deadlocks during init,Total No. of Shuffles/Deadlocks Occurred,Avg No. of Shuffles/Deadlocks Occurred per move,Avg No. of Shuffles/Deadlocks Occurred per game,Total score per Game Setting,Avg score per Game Setting,Total Valid Moves Made,Avg Valid Moves Made,Total No. of Possible/Playable Moves,Avg No. of Possible/Playable Moves per config,Total No. of Avalanche Matches,Avg No. of Avalanche Matches per game,Total Moves Available per Game Setting,Total deterministic score after first move,Avg deterministic score after first move,Total non-deterministic score after first move,Avg non-deterministic score after first move,Total avalanche count after first move
top_agent,"(9, 9)",7,17,16,1,0,0,0,1910,38.2,500,10,4801,9.602,102,2.04,10,150,3,16,0.32,5
bottom_agent,"(9, 9)",7,17,16,1,0,0,0,2270,45.4,500,10,5029,10.058,220,4.4,10,150,3,217,4.34,70
top_agent,"(9, 9)",7,4,3,1,0,0,0,2174,43.48,500,10,6441,12.882,141,2.82,10,150,3,18,0.36,5
bottom_agent,"(9, 9)",7,4,3,1,0,0,0,2503,50.06,500,10,5276,10.552,259,5.18,10,150,3,3,0.06,1
top_agent,"(9, 9)",7,3,2,1,0,0,0,1877,37.54,500,10,6491,12.982,108,2.16,10,150,3,25,0.5,8
bottom_agent,"(9, 9)",7,3,2,1,0,0,0,2292,45.84,500,10,6762,13.524,197,3.94,10,150,3,3,0.06,1
top_agent,"(9, 9)",7,5,4,1,0,0,0,2215,44.3,500,10,5439,10.878,177,3.54,10,150,3,32,0.64,10
bottom_agent,"(9, 9)",7,5,4,1,1,0.002,0.02,2344,46.88,500,10,5713,11.426,207,4.14,10,150,3,3,0.06,1
top_agent,"(9, 9)",7,10,9,1,0,0,0,2128,42.56,500,10,9067,18.134,172,3.44,10,150,3,51,1.02,17
bottom_agent,"(9, 9)",7,10,9,1,0,0,0,2674,53.48,500,10,4753,9.506,279,5.58,10,150,3,368,7.36,66
top_agent,"(9, 9)",7,17,16,1,0,0,0,2134,42.68,500,10,5226,10.452,163,3.26,10,150,3,24,0.48,8
bottom_agent,"(9, 9)",7,17,16,1,0,0,0,2492,49.84,500,10,4467,8.934,267,5.34,10,150,3,33,0.66,11
top_agent,"(9, 9)",7,1,0,1,0,0,0,2077,41.54,500,10,7527,15.054,153,3.06,10,150,3,43,0.86,14
bottom_agent,"(9, 9)",7,1,0,1,0,0,0,2539,50.78,500,10,5806,11.612,289,5.78,10,150,3,85,1.7,22
top_agent,"(9, 9)",7,12,11,1,0,0,0,2637,52.74,500,10,4874,9.748,293,5.86,10,150,3,9,0.18,3
bottom_agent,"(9, 9)",7,12,11,1,2,0.004,0.04,3065,61.3,500,10,5641,11.282,394,7.88,10,150,3,98,1.96,26
top_agent,"(9, 9)",7,1,0,1,0,0,0,1941,38.82,500,10,6548,13.096,120,2.4,10,150,3,7,0.14,2
bottom_agent,"(9, 9)",7,1,0,1,0,0,0,1897,37.94,500,10,4797,9.594,111,2.22,10,150,3,12,0.24,4
top_agent,"(9, 9)",7,4,3,1,0,0,0,2347,46.94,500,10,5779,11.558,216,4.32,10,150,3,6,0.12,2
bottom_agent,"(9, 9)",7,4,3,1,0,0,0,2478,49.56,500,10,5533,11.066,258,5.16,10,150,3,30,0.6,10
top_agent,"(9, 9)",7,7,6,1,0,0,0,2082,41.64,500,10,4000,8,126,2.52,10,250,5,51,1.02,17
bottom_agent,"(9, 9)",7,7,6,1,0,0,0,1918,38.36,500,10,3557,7.114,114,2.28,10,150,3,43,0.86,14
top_agent,"(9, 9)",7,41,40,1,0,0,0,1951,39.02,500,10,6495,12.99,122,2.44,10,150,3,9,0.18,3
bottom_agent,"(9, 9)",7,41,40,1,1,0.002,0.02,2457,49.14,500,10,6236,12.472,268,5.36,10,150,3,168,3.36,52
top_agent,"(9, 9)",7,0,0,0,0,0,0,2124,42.48,500,10,6043,12.086,176,3.52,10,150,3,30,0.6,10
bottom_agent,"(9, 9)",7,0,0,0,0,0,0,2429,48.58,500,10,5711,11.422,197,3.94,10,150,3,192,3.84,56
top_agent,"(9, 9)",7,9,8,1,0,0,0,2039,40.78,500,10,6109,12.218,129,2.58,10,150,3,45,0.9,14
bottom_agent,"(9, 9)",7,9,8,1,0,0,0,3149,62.98,500,10,7364,14.728,361,7.22,10,150,3,49,0.98,16
top_agent,"(9, 9)",7,1,0,1,0,0,0,2273,45.46,500,10,7297,14.594,209,4.18,10,150,3,18,0.36,6
bottom_agent,"(9, 9)",7,1,0,1,0,0,0,2577,51.54,500,10,5680,11.36,260,5.2,10,150,3,46,0.92,15
top_agent,"(9, 9)",7,2,1,1,0,0,0,2266,45.32,500,10,4228,8.456,140,2.8,10,350,7,43,0.86,11
bottom_agent,"(9, 9)",7,2,1,1,2,0.004,0.04,2499,49.98,500,10,3729,7.458,223,4.46,10,150,3,31,0.62,10
top_agent,"(9, 9)",7,0,0,0,0,0,0,2188,43.76,500,10,8269,16.538,159,3.18,10,150,3,9,0.18,3
bottom_agent,"(9, 9)",7,0,0,0,0,0,0,2213,44.26,500,10,5300,10.6,193,3.86,10,150,3,247,4.94,66
top_agent,"(9, 9)",7,23,22,1,0,0,0,2158,43.16,500,10,5473,10.946,175,3.5,10,150,3,24,0.48,8
bottom_agent,"(9, 9)",7,23,22,1,0,0,0,2824,56.48,500,10,4923,9.846,277,5.54,10,150,3,40,0.8,12
top_agent,"(9, 9)",7,3,2,1,1,0.002,0.02,2045,40.9,500,10,3980,7.96,149,2.98,10,150,3,18,0.36,6
bottom_agent,"(9, 9)",7,3,2,1,1,0.002,0.02,2302,46.04,500,10,3602,7.204,207,4.14,10,150,3,126,2.52,28
top_agent,"(9, 9)",7,2,1,1,0,0,0,2049,40.98,500,10,4919,9.838,150,3,10,150,3,15,0.3,5
bottom_agent,"(9, 9)",7,2,1,1,0,0,0,1920,38.4,500,10,4116,8.232,116,2.32,10,150,3,19,0.38,6
top_agent,"(9, 9)",7,4,3,1,0,0,0,2007,40.14,500,10,6504,13.008,147,2.94,10,150,3,12,0.24,4
bottom_agent,"(9, 9)",7,4,3,1,0,0,0,2942,58.84,500,10,5571,11.142,336,6.72,10,150,3,199,3.98,55
top_agent,"(9, 9)",7,12,11,1,0,0,0,1888,37.76,500,10,5552,11.104,109,2.18,10,150,3,42,0.84,14
bottom_agent,"(9, 9)",7,12,11,1,0,0,0,2428,48.56,500,10,5448,10.896,235,4.7,10,150,3,6,0.12,2
top_agent,"(9, 9)",7,9,8,1,0,0,0,1973,39.46,500,10,4245,8.49,129,2.58,10,150,3,49,0.98,16
bottom_agent,"(9, 9)",7,9,8,1,0,0,0,2511,50.22,500,10,5819,11.638,232,4.64,10,150,3,59,1.18,19
top_agent,"(9, 9)",7,5,4,1,0,0,0,2017,40.34,500,10,7732,15.464,140,2.8,10,150,3,14,0.28,4
bottom_agent,"(9, 9)",7,5,4,1,0,0,0,2113,42.26,500,10,5682,11.364,156,3.12,10,200,4,67,1.34,17
top_agent,"(9, 9)",7,1,0,1,0,0,0,2059,41.18,500,10,7070,14.14,144,2.88,10,150,3,21,0.42,7
bottom_agent,"(9, 9)",7,1,0,1,0,0,0,2726,54.52,500,10,8181,16.362,303,6.06,10,150,3,66,1.32,21
top_agent,"(9, 9)",7,6,5,1,0,0,0,2214,44.28,500,10,5636,11.272,146,2.92,10,300,6,85,1.7,24
bottom_agent,"(9, 9)",7,6,5,1,0,0,0,2525,50.5,500,10,6418,12.836,201,4.02,10,150,3,29,0.58,9
top_agent,"(9, 9)",7,22,21,1,1,0.002,0.02,2182,43.64,500,10,4692,9.384,169,3.38,10,200,4,124,2.48,33
bottom_agent,"(9, 9)",7,22,21,1,0,0,0,2526,50.52,500,10,4297,8.594,279,5.58,10,150,3,447,8.94,126
top_agent,"(9, 9)",7,6,5,1,0,0,0,2493,49.86,500,10,7876,15.752,247,4.94,10,150,3,67,1.34,22
bottom_agent,"(9, 9)",7,6,5,1,0,0,0,2606,52.12,500,10,6375,12.75,267,5.34,10,300,6,74,1.48,24
top_agent,"(9, 9)",7,9,8,1,0,0,0,1972,39.44,500,10,4341,8.682,128,2.56,10,150,3,40,0.8,12
bottom_agent,"(9, 9)",7,9,8,1,0,0,0,2225,44.5,500,10,5320,10.64,200,4,10,150,3,10,0.2,3
top_agent,"(9, 9)",7,23,22,1,0,0,0,2011,40.22,500,10,5057,10.114,142,2.84,10,150,3,8,0.16,2
bottom_agent,"(9, 9)",7,23,22,1,0,0,0,2248,44.96,500,10,5017,10.034,189,3.78,10,150,3,15,0.3,5
top_agent,"(9, 9)",7,8,7,1,0,0,0,2181,43.62,500,10,6882,13.764,176,3.52,10,150,3,3,0.06,1
bottom_agent,"(9, 9)",7,8,7,1,0,0,0,2591,51.82,500,10,6347,12.694,223,4.46,10,150,3,4,0.08,1
top_agent,"(9, 9)",7,3,2,1,4,0.008,0.08,1965,39.3,500,10,2830,5.66,128,2.56,10,150,3,42,0.84,14
bottom_agent,"(9, 9)",7,3,2,1,2,0.004,0.04,2194,43.88,500,10,3010,6.02,190,3.8,10,150,3,70,1.4,20
top_agent,"(9, 9)",7,13,12,1,0,0,0,1916,38.32,500,10,4139,8.278,116,2.32,10,150,3,29,0.58,9
bottom_agent,"(9, 9)",7,13,12,1,0,0,0,2040,40.8,500,10,3571,7.142,154,3.08,10,150,3,39,0.78,13
top_agent,"(9, 9)",7,20,19,1,0,0,0,2185,43.7,500,10,5408,10.816,169,3.38,10,150,3,29,0.58,9
bottom_agent,"(9, 9)",7,20,19,1,0,0,0,2398,47.96,500,10,4602,9.204,230,4.6,10,150,3,54,1.08,17
top_agent,"(9, 9)",7,5,4,1,0,0,0,2117,42.34,500,10,3970,7.94,164,3.28,10,150,3,0,0,0
bottom_agent,"(9, 9)",7,5,4,1,0,0,0,2033,40.66,500,10,3963,7.926,157,3.14,10,150,3,9,0.18,3
top_agent,"(9, 9)",7,4,3,1,0,0,0,1823,36.46,500,10,3119,6.238,94,1.88,10,150,3,0,0,0
bottom_agent,"(9, 9)",7,4,3,1,0,0,0,2144,42.88,500,10,3403,6.806,181,3.62,10,150,3,3,0.06,1
top_agent,"(9, 9)",7,3,2,1,0,0,0,1974,39.48,500,10,6507,13.014,124,2.48,10,150,3,21,0.42,7
bottom_agent,"(9, 9)",7,3,2,1,0,0,0,2851,57.02,500,10,4928,9.856,337,6.74,10,150,3,379,7.58,114
top_agent,"(9, 9)",7,4,3,1,0,0,0,2183,43.66,500,10,8461,16.922,186,3.72,10,150,3,41,0.82,13
bottom_agent,"(9, 9)",7,4,3,1,0,0,0,3189,63.78,500,10,4867,9.734,426,8.52,10,150,3,659,13.18,179
top_agent,"(9, 9)",7,23,22,1,0,0,0,2093,41.86,500,10,4482,8.964,159,3.18,10,150,3,70,1.4,21
bottom_agent,"(9, 9)",7,23,22,1,2,0.004,0.04,2227,44.54,500,10,4327,8.654,207,4.14,10,150,3,18,0.36,6
top_agent,"(9, 9)",7,4,3,1,0,0,0,2432,48.64,500,10,7064,14.128,192,3.84,10,150,3,10,0.2,3
bottom_agent,"(9, 9)",7,4,3,1,0,0,0,2774,55.48,500,10,4546,9.092,311,6.22,10,150,3,245,4.9,64
top_agent,"(9, 9)",7,12,11,1,0,0,0,2080,41.6,500,10,8533,17.066,142,2.84,10,150,3,3,0.06,1
bottom_agent,"(9, 9)",7,12,11,1,0,0,0,2512,50.24,500,10,5228,10.456,273,5.46,10,150,3,244,4.88,68
top_agent,"(9, 9)",7,0,0,0,0,0,0,2131,42.62,500,10,4416,8.832,149,2.98,10,150,3,63,1.26,18
bottom_agent,"(9, 9)",7,0,0,0,0,0,0,1982,39.64,500,10,4698,9.396,134,2.68,10,150,3,7,0.14,2
top_agent,"(9, 9)",7,7,6,1,0,0,0,2011,40.22,500,10,5162,10.324,148,2.96,10,150,3,13,0.26,4
bottom_agent,"(9, 9)",7,7,6,1,0,0,0,2086,41.72,500,10,3993,7.986,162,3.24,10,150,3,100,2,31
top_agent,"(9, 9)",7,1,0,1,0,0,0,2019,40.38,500,10,5146,10.292,148,2.96,10,150,3,9,0.18,3
bottom_agent,"(9, 9)",7,1,0,1,0,0,0,2670,53.4,500,10,7371,14.742,280,5.6,10,150,3,181,3.62,59
top_agent,"(9, 9)",7,0,0,0,0,0,0,1990,39.8,500,10,3169,6.338,105,2.1,10,150,3,6,0.12,2
bottom_agent,"(9, 9)",7,0,0,0,1,0.002,0.02,2254,45.08,500,10,4425,8.85,170,3.4,10,150,3,32,0.64,10
top_agent,"(9, 9)",7,10,9,1,0,0,0,2472,49.44,500,10,7566,15.132,270,5.4,10,150,3,490,9.8,133
bottom_agent,"(9, 9)",7,10,9,1,4,0.008,0.08,2260,45.2,500,10,4592,9.184,206,4.12,10,150,3,0,0,0
top_agent,"(9, 9)",7,7,6,1,0,0,0,1952,39.04,500,10,5862,11.724,119,2.38,10,150,3,7,0.14,2
bottom_agent,"(9, 9)",7,7,6,1,0,0,0,2287,45.74,500,10,6323,12.646,222,4.44,10,150,3,37,0.74,12
top_agent,"(9, 9)",7,3,2,1,0,0,0,1931,38.62,500,10,5480,10.96,124,2.48,10,150,3,40,0.8,10
bottom_agent,"(9, 9)",7,3,2,1,0,0,0,2179,43.58,500,10,5868,11.736,180,3.6,10,150,3,29,0.58,9
top_agent,"(9, 9)",7,1,0,1,5,0.01,0.1,1914,38.28,500,10,4479,8.958,104,2.08,10,150,3,0,0,0
bottom_agent,"(9, 9)",7,1,0,1,9,0.018,0.18,1950,39,500,10,3486,6.972,110,2.2,10,200,4,3,0.06,1
top_agent,"(9, 9)",7,0,0,0,0,0,0,2087,41.74,500,10,7190,14.38,151,3.02,10,150,3,9,0.18,3
bottom_agent,"(9, 9)",7,0,0,0,0,0,0,2078,41.56,500,10,4644,9.288,156,3.12,10,150,3,12,0.24,4
top_agent,"(9, 9)",7,23,22,1,0,0,0,1943,38.86,500,10,4526,9.052,109,2.18,10,150,3,23,0.46,7
bottom_agent,"(9, 9)",7,23,22,1,0,0,0,2041,40.82,500,10,5114,10.228,152,3.04,10,150,3,36,0.72,12
top_agent,"(9, 9)",7,6,5,1,0,0,0,2246,44.92,500,10,5521,11.042,195,3.9,10,150,3,54,1.08,16
bottom_agent,"(9, 9)",7,6,5,1,0,0,0,2359,47.18,500,10,5466,10.932,226,4.52,10,150,3,204,4.08,57
top_agent,"(9, 9)",7,19,18,1,0,0,0,2073,41.46,500,10,5093,10.186,136,2.72,10,150,3,42,0.84,14
bottom_agent,"(9, 9)",7,19,18,1,0,0,0,2482,49.64,500,10,4294,8.588,190,3.8,10,150,3,59,1.18,18
top_agent,"(9, 9)",7,16,15,1,0,0,0,1957,39.14,500,10,7168,14.336,131,2.62,10,150,3,33,0.66,11
bottom_agent,"(9, 9)",7,16,15,1,0,0,0,2667,53.34,500,10,6392,12.784,283,5.66,10,150,3,12,0.24,4
top_agent,"(9, 9)",7,25,24,1,0,0,0,2180,43.6,500,10,7460,14.92,144,2.88,10,300,6,68,1.36,20
bottom_agent,"(9, 9)",7,25,24,1,0,0,0,2467,49.34,500,10,5544,11.088,276,5.52,10,150,3,171,3.42,55
top_agent,"(9, 9)",7,1,0,1,0,0,0,1969,39.38,500,10,4207,8.414,120,2.4,10,150,3,9,0.18,3
bottom_agent,"(9, 9)",7,1,0,1,0,0,0,2087,41.74,500,10,4778,9.556,158,3.16,10,150,3,15,0.3,5
top_agent,"(9, 9)",7,4,3,1,0,0,0,2004,40.08,500,10,4142,8.284,138,2.76,10,150,3,7,0.14,2
bottom_agent,"(9, 9)",7,4,3,1,0,0,0,2110,42.2,500,10,3516,7.032,167,3.34,10,150,3,68,1.36,18
top_agent,"(9, 9)",7,1,0,1,0,0,0,2030,40.6,500,10,5477,10.954,142,2.84,10,150,3,37,0.74,12
bottom_agent,"(9, 9)",7,1,0,1,0,0,0,2281,45.62,500,10,4977,9.954,198,3.96,10,150,3,9,0.18,3
top_agent,"(9, 9)",7,19,18,1,0,0,0,2044,40.88,500,10,4158,8.316,152,3.04,10,150,3,60,1.2,16
bottom_agent,"(9, 9)",7,19,18,1,0,0,0,1962,39.24,500,10,5901,11.802,126,2.52,10,150,3,0,0,0
top_agent,"(9, 9)",7,9,8,1,0,0,0,2015,40.3,500,10,5791,11.582,138,2.76,10,150,3,18,0.36,6
bottom_agent,"(9, 9)",7,9,8,1,2,0.004,0.04,2360,47.2,500,10,5455,10.91,227,4.54,10,150,3,3,0.06,1
top_agent,"(9, 9)",7,6,5,1,0,0,0,1942,38.84,500,10,4037,8.074,122,2.44,10,150,3,65,1.3,20
bottom_agent,"(9, 9)",7,6,5,1,0,0,0,2431,48.62,500,10,4760,9.52,224,4.48,10,200,4,53,1.06,15
top_agent,"(9, 9)",7,7,6,1,1,0.002,0.02,1809,36.18,500,10,4846,9.692,76,1.52,10,150,3,0,0,0
bottom_agent,"(9, 9)",7,7,6,1,0,0,0,2204,44.08,500,10,5167,10.334,184,3.68,10,150,3,171,3.42,52
top_agent,"(9, 9)",7,1,0,1,0,0,0,1972,39.44,500,10,3578,7.156,127,2.54,10,150,3,18,0.36,6
bottom_agent,"(9, 9)",7,1,0,1,0,0,0,2122,42.44,500,10,3377,6.754,161,3.22,10,150,3,3,0.06,1
top_agent,"(9, 9)",7,6,5,1,0,0,0,1921,38.42,500,10,6676,13.352,109,2.18,10,150,3,28,0.56,9
bottom_agent,"(9, 9)",7,6,5,1,5,0.01,0.1,1926,38.52,500,10,4650,9.3,114,2.28,10,150,3,9,0.18,3
top_agent,"(9, 9)",7,12,11,1,1,0.002,0.02,1835,36.7,500,10,3567,7.134,88,1.76,10,150,3,14,0.28,4
bottom_agent,"(9, 9)",7,12,11,1,0,0,0,2018,40.36,500,10,3834,7.668,126,2.52,10,150,3,3,0.06,1
top_agent,"(9, 9)",7,23,22,1,0,0,0,1881,37.62,500,10,5389,10.778,105,2.1,10,150,3,24,0.48,8
bottom_agent,"(9, 9)",7,23,22,1,1,0.002,0.02,2518,50.36,500,10,5936,11.872,248,4.96,10,150,3,43,0.86,12
top_agent,"(9, 9)",7,3,2,1,0,0,0,2534,50.68,500,10,4495,8.99,230,4.6,10,300,6,114,2.28,29
bottom_agent,"(9, 9)",7,3,2,1,0,0,0,1943,38.86,500,10,3440,6.88,98,1.96,10,150,3,15,0.3,5
top_agent,"(9, 9)",7,2,1,1,0,0,0,2078,41.56,500,10,7590,15.18,159,3.18,10,150,3,48,0.96,14
bottom_agent,"(9, 9)",7,2,1,1,0,0,0,2894,57.88,500,10,6618,13.236,337,6.74,10,150,3,601,12.02,119
top_agent,"(9, 9)",7,4,3,1,0,0,0,1889,37.78,500,10,2919,5.838,112,2.24,10,150,3,0,0,0
bottom_agent,"(9, 9)",7,4,3,1,0,0,0,2231,44.62,500,10,3963,7.926,203,4.06,10,150,3,13,0.26,4
top_agent,"(9, 9)",7,2,1,1,0,0,0,2102,42.04,500,10,5223,10.446,156,3.12,10,150,3,76,1.52,22
bottom_agent,"(9, 9)",7,2,1,1,0,0,0,2450,49,500,10,6471,12.942,240,4.8,10,150,3,24,0.48,8
top_agent,"(9, 9)",7,5,4,1,0,0,0,2334,46.68,500,10,4343,8.686,213,4.26,10,150,3,141,2.82,36
bottom_agent,"(9, 9)",7,5,4,1,0,0,0,2383,47.66,500,10,4922,9.844,235,4.7,10,150,3,51,1.02,15
top_agent,"(9, 9)",7,1,0,1,0,0,0,1932,38.64,500,10,6839,13.678,114,2.28,10,150,3,57,1.14,18
bottom_agent,"(9, 9)",7,1,0,1,0,0,0,2121,42.42,500,10,5232,10.464,170,3.4,10,150,3,46,0.92,12
top_agent,"(9, 9)",8,7,6,1,0,0,0,1934,38.68,500,10,4726,9.452,121,2.42,10,150,3,9,0.18,3
bottom_agent,"(9, 9)",8,7,6,1,0,0,0,2141,42.82,500,10,3297,6.594,179,3.58,10,150,3,6,0.12,2
top_agent,"(9, 9)",8,0,0,0,0,0,0,1873,37.46,500,10,3783,7.566,105,2.1,10,150,3,30,0.6,10
bottom_agent,"(9, 9)",8,0,0,0,1,0.002,0.02,1957,39.14,500,10,3535,7.07,132,2.64,10,150,3,0,0,0
top_agent,"(9, 9)",8,2,1,1,0,0,0,1900,38,500,10,4530,9.06,114,2.28,10,150,3,15,0.3,5
bottom_agent,"(9, 9)",8,2,1,1,3,0.006,0.06,1832,36.64,500,10,3198,6.396,102,2.04,10,150,3,3,0.06,1
top_agent,"(9, 9)",8,7,6,1,9,0.018,0.18,2240,44.8,500,10,3346,6.692,211,4.22,10,150,3,370,7.4,109
bottom_agent,"(9, 9)",8,7,6,1,13,0.026,0.26,2194,43.88,500,10,3826,7.652,190,3.8,10,150,3,110,2.2,29
top_agent,"(9, 9)",8,4,3,1,0,0,0,2003,40.06,500,10,3229,6.458,140,2.8,10,150,3,16,0.32,5
bottom_agent,"(9, 9)",8,4,3,1,9,0.018,0.18,2188,43.76,500,10,3259,6.518,199,3.98,10,150,3,209,4.18,63
top_agent,"(9, 9)",8,10,9,1,1,0.002,0.02,2041,40.82,500,10,4851,9.702,148,2.96,10,150,3,75,1.5,21
bottom_agent,"(9, 9)",8,10,9,1,2,0.004,0.04,2040,40.8,500,10,4995,9.99,106,2.12,10,150,3,21,0.42,7
top_agent,"(9, 9)",8,6,5,1,1,0.002,0.02,2121,42.42,500,10,6160,12.32,120,2.4,10,200,4,4,0.08,1
bottom_agent,"(9, 9)",8,6,5,1,1,0.002,0.02,2334,46.68,500,10,4034,8.068,219,4.38,10,150,3,39,0.78,13
top_agent,"(9, 9)",8,14,13,1,16,0.032,0.32,1896,37.92,500,10,3228,6.456,116,2.32,10,150,3,32,0.64,10
bottom_agent,"(9, 9)",8,14,13,1,8,0.016,0.16,1991,39.82,500,10,2960,5.92,131,2.62,10,150,3,35,0.7,10
top_agent,"(9, 9)",8,15,14,1,0,0,0,2091,41.82,500,10,3593,7.186,164,3.28,10,150,3,258,5.16,68
bottom_agent,"(9, 9)",8,15,14,1,1,0.002,0.02,2275,45.5,500,10,4843,9.686,214,4.28,10,150,3,77,1.54,24
top_agent,"(9, 9)",8,33,32,1,0,0,0,1902,38.04,500,10,5927,11.854,112,2.24,10,150,3,4,0.08,1
bottom_agent,"(9, 9)",8,33,32,1,0,0,0,2084,41.68,500,10,4824,9.648,163,3.26,10,150,3,3,0.06,1
top_agent,"(9, 9)",8,2,1,1,0,0,0,1869,37.38,500,10,3899,7.798,99,1.98,10,150,3,30,0.6,10
bottom_agent,"(9, 9)",8,2,1,1,4,0.008,0.08,2248,44.96,500,10,4043,8.086,130,2.6,10,150,3,30,0.6,10
top_agent,"(9, 9)",8,10,9,1,0,0,0,1904,38.08,500,10,4349,8.698,121,2.42,10,150,3,6,0.12,2
bottom_agent,"(9, 9)",8,10,9,1,0,0,0,2306,46.12,500,10,5186,10.372,176,3.52,10,150,3,0,0,0
top_agent,"(9, 9)",8,2,1,1,0,0,0,2021,40.42,500,10,5006,10.012,132,2.64,10,150,3,0,0,0
bottom_agent,"(9, 9)",8,2,1,1,0,0,0,2099,41.98,500,10,5436,10.872,179,3.58,10,150,3,7,0.14,2
top_agent,"(9, 9)",8,15,14,1,1,0.002,0.02,1897,37.94,500,10,3392,6.784,107,2.14,10,150,3,15,0.3,5
bottom_agent,"(9, 9)",8,15,14,1,6,0.012,0.12,1837,36.74,500,10,3507,7.014,91,1.82,10,150,3,6,0.12,2
top_agent,"(9, 9)",8,3,2,1,2,0.004,0.04,1956,39.12,500,10,5058,10.116,139,2.78,10,150,3,0,0,0
bottom_agent,"(9, 9)",8,3,2,1,1,0.002,0.02,1847,36.94,500,10,5669,11.338,92,1.84,10,150,3,0,0,0
top_agent,"(9, 9)",8,3,2,1,2,0.004,0.04,2021,40.42,500,10,3671,7.342,148,2.96,10,150,3,6,0.12,2
bottom_agent,"(9, 9)",8,3,2,1,22,0.044,0.44,1983,39.66,500,10,4607,9.214,130,2.6,10,150,3,30,0.6,10
top_agent,"(9, 9)",8,17,16,1,0,0,0,2088,41.76,500,10,6528,13.056,163,3.26,10,150,3,181,3.62,59
bottom_agent,"(9, 9)",8,17,16,1,6,0.012,0.12,1749,34.98,500,10,3520,7.04,79,1.58,10,150,3,6,0.12,2
top_agent,"(9, 9)",8,12,11,1,36,0.072,0.72,1895,37.9,500,10,6878,13.756,119,2.38,10,150,3,6,0.12,2
bottom_agent,"(9, 9)",8,12,11,1,0,0,0,1983,39.66,500,10,2395,4.79,131,2.62,10,150,3,9,0.18,3
top_agent,"(9, 9)",8,9,8,1,0,0,0,2009,40.18,500,10,3337,6.674,106,2.12,10,150,3,12,0.24,4
bottom_agent,"(9, 9)",8,9,8,1,0,0,0,2102,42.04,500,10,3740,7.48,162,3.24,10,150,3,54,1.08,16
top_agent,"(9, 9)",8,7,6,1,0,0,0,1765,35.3,500,10,3019,6.038,80,1.6,10,150,3,23,0.46,7
bottom_agent,"(9, 9)",8,7,6,1,7,0.014,0.14,1847,36.94,500,10,3699,7.398,92,1.84,10,150,3,39,0.78,13
top_agent,"(9, 9)",8,6,5,1,3,0.006,0.06,1855,37.1,500,10,3480,6.96,104,2.08,10,150,3,48,0.96,16
bottom_agent,"(9, 9)",8,6,5,1,18,0.036,0.36,1980,39.6,500,10,3946,7.892,134,2.68,10,150,3,27,0.54,9
top_agent,"(9, 9)",8,3,2,1,2,0.004,0.04,1887,37.74,500,10,3164,6.328,115,2.3,10,150,3,6,0.12,2
bottom_agent,"(9, 9)",8,3,2,1,2,0.004,0.04,1823,36.46,500,10,2572,5.144,90,1.8,10,150,3,18,0.36,6
top_agent,"(9, 9)",8,0,0,0,0,0,0,1879,37.58,500,10,4646,9.292,115,2.3,10,150,3,61,1.22,19
bottom_agent,"(9, 9)",8,0,0,0,2,0.004,0.04,1922,38.44,500,10,3891,7.782,121,2.42,10,150,3,30,0.6,10
top_agent,"(9, 9)",8,18,17,1,2,0.004,0.04,1958,39.16,500,10,3279,6.558,130,2.6,10,150,3,3,0.06,1
bottom_agent,"(9, 9)",8,18,17,1,1,0.002,0.02,2401,48.02,500,10,3051,6.102,218,4.36,10,150,3,39,0.78,12
top_agent,"(9, 9)",8,0,0,0,0,0,0,2126,42.52,500,10,4431,8.862,170,3.4,10,150,3,79,1.58,24
bottom_agent,"(9, 9)",8,0,0,0,3,0.006,0.06,2305,46.1,500,10,3533,7.066,198,3.96,10,200,4,342,6.84,85
top_agent,"(9, 9)",8,0,0,0,0,0,0,2255,45.1,500,10,8983,17.966,231,4.62,10,150,3,493,9.86,157
bottom_agent,"(9, 9)",8,0,0,0,0,0,0,2322,46.44,500,10,5681,11.362,198,3.96,10,150,3,24,0.48,8
top_agent,"(9, 9)",8,6,5,1,2,0.004,0.04,1895,37.9,500,10,5222,10.444,120,2.4,10,150,3,0,0,0
bottom_agent,"(9, 9)",8,6,5,1,4,0.008,0.08,2409,48.18,500,10,5311,10.622,231,4.62,10,150,3,84,1.68,28
top_agent,"(9, 9)",8,2,1,1,7,0.014,0.14,2296,45.92,500,10,3311,6.622,170,3.4,10,150,3,36,0.72,12
bottom_agent,"(9, 9)",8,2,1,1,4,0.008,0.08,2596,51.92,500,10,2927,5.854,227,4.54,10,150,3,588,11.76,116
top_agent,"(9, 9)",8,4,3,1,0,0,0,1806,36.12,500,10,5204,10.408,89,1.78,10,150,3,6,0.12,2
bottom_agent,"(9, 9)",8,4,3,1,0,0,0,1832,36.64,500,10,4000,8,92,1.84,10,150,3,46,0.92,14
top_agent,"(9, 9)",8,3,2,1,0,0,0,2142,42.84,500,10,4219,8.438,183,3.66,10,150,3,27,0.54,9
bottom_agent,"(9, 9)",8,3,2,1,7,0.014,0.14,2100,42,500,10,3262,6.524,130,2.6,10,150,3,40,0.8,12
