Agent,Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Total No. of Times Matches Occurred during init,Total No. of Deadlocks during init,Total No. of Shuffles/Deadlocks Occurred,Avg No. of Shuffles/Deadlocks Occurred per move,Total score per Game Setting,Avg score per Game Setting,Total Valid Moves Made,Avg Valid Moves Made,Total No. of Possible/Playable Moves,Avg No. of Possible/Playable Moves,Total No. of Avalanche Matches,Avg No. of Avalanche Matches,Total Moves Available per Game Setting,Total deterministic score after first move,Avg deterministic score after first move,Total non-deterministic score after first move,Avg non-deterministic score after first move,Total avalanche count after first move,Avg avalanche count after first move
bottom_agent,"(9, 9)",7,1,0,1,0,0,2486,49.72,500,10,3937,7.874,206,4.12,10,150,3,22,0.44,7,0.14
top_agent,"(9, 9)",7,13,12,1,0,0,2149,42.98,500,10,6630,13.26,177,3.54,10,150,3,203,4.06,60,1.2
bottom_agent,"(9, 9)",7,13,12,1,0,0,2396,47.92,500,10,5618,11.236,214,4.28,10,150,3,21,0.42,7,0.14
top_agent,"(9, 9)",7,20,19,1,0,0,2280,45.6,500,10,9088,18.176,164,3.28,10,150,3,30,0.6,10,0.2
bottom_agent,"(9, 9)",7,20,19,1,0,0,2998,59.96,500,10,5340,10.68,393,7.86,10,150,3,630,12.6,177,3.54
top_agent,"(9, 9)",7,4,3,1,0,0,1995,39.9,500,10,4316,8.632,138,2.76,10,150,3,30,0.6,10,0.2
bottom_agent,"(9, 9)",7,4,3,1,1,0.002,1993,39.86,500,10,5623,11.246,145,2.9,10,150,3,46,0.92,15,0.3
top_agent,"(9, 9)",7,3,2,1,0,0,2036,40.72,500,10,5258,10.516,150,3,10,150,3,51,1.02,16,0.32
bottom_agent,"(9, 9)",7,3,2,1,2,0.004,2195,43.9,500,10,4576,9.152,173,3.46,10,150,3,37,0.74,12,0.24
top_agent,"(9, 9)",7,11,10,1,0,0,2478,49.56,500,10,6456,12.912,265,5.3,10,150,3,12,0.24,4,0.08
bottom_agent,"(9, 9)",7,11,10,1,0,0,2106,42.12,500,10,6214,12.428,172,3.44,10,150,3,45,0.9,14,0.28
top_agent,"(9, 9)",7,18,17,1,0,0,1963,39.26,500,10,6945,13.89,113,2.26,10,150,3,6,0.12,2,0.04
bottom_agent,"(9, 9)",7,18,17,1,0,0,2697,53.94,500,10,5715,11.43,316,6.32,10,150,3,3,0.06,1,0.02
top_agent,"(9, 9)",7,20,19,1,0,0,1995,39.9,500,10,4883,9.766,128,2.56,10,150,3,31,0.62,10,0.2
bottom_agent,"(9, 9)",7,20,19,1,0,0,2487,49.74,500,10,6970,13.94,267,5.34,10,150,3,48,0.96,16,0.32
top_agent,"(9, 9)",7,0,0,0,0,0,2113,42.26,500,10,6585,13.17,173,3.46,10,150,3,71,1.42,22,0.44
bottom_agent,"(9, 9)",7,0,0,0,3,0.006,2555,51.1,500,10,6263,12.526,202,4.04,10,150,3,13,0.26,4,0.08
top_agent,"(9, 9)",7,5,4,1,0,0,1924,38.48,500,10,6396,12.792,113,2.26,10,150,3,0,0,0,0
bottom_agent,"(9, 9)",7,5,4,1,0,0,2293,45.86,500,10,5575,11.15,189,3.78,10,150,3,3,0.06,1,0.02
top_agent,"(9, 9)",7,13,12,1,0,0,2162,43.24,500,10,5202,10.404,175,3.5,10,150,3,12,0.24,4,0.08
bottom_agent,"(9, 9)",7,13,12,1,0,0,2686,53.72,500,10,5514,11.028,312,6.24,10,150,3,193,3.86,57,1.14
top_agent,"(9, 9)",7,2,1,1,0,0,2147,42.94,500,10,6712,13.424,177,3.54,10,150,3,25,0.5,8,0.16
bottom_agent,"(9, 9)",7,2,1,1,0,0,2188,43.76,500,10,6353,12.706,203,4.06,10,150,3,18,0.36,6,0.12
top_agent,"(9, 9)",7,26,25,1,0,0,2102,42.04,500,10,6182,12.364,162,3.24,10,150,3,17,0.34,5,0.1
bottom_agent,"(9, 9)",7,26,25,1,1,0.002,3027,60.54,500,10,4545,9.09,331,6.62,10,150,3,960,19.2,175,3.5
top_agent,"(9, 9)",7,3,2,1,0,0,2110,42.2,500,10,7377,14.754,160,3.2,10,150,3,6,0.12,2,0.04
bottom_agent,"(9, 9)",7,3,2,1,0,0,2216,44.32,500,10,6086,12.172,189,3.78,10,150,3,104,2.08,29,0.58
top_agent,"(9, 9)",7,43,42,1,0,0,2037,40.74,500,10,6279,12.558,133,2.66,10,150,3,67,1.34,18,0.36
bottom_agent,"(9, 9)",7,43,42,1,0,0,2200,44,500,10,6777,13.554,172,3.44,10,150,3,6,0.12,2,0.04
top_agent,"(9, 9)",7,21,20,1,0,0,2054,41.08,500,10,5570,11.14,154,3.08,10,150,3,33,0.66,11,0.22
bottom_agent,"(9, 9)",7,21,20,1,0,0,2166,43.32,500,10,4105,8.21,182,3.64,10,150,3,52,1.04,14,0.28
top_agent,"(9, 9)",7,3,2,1,0,0,2242,44.84,500,10,3495,6.99,178,3.56,10,150,3,27,0.54,9,0.18
bottom_agent,"(9, 9)",7,3,2,1,1,0.002,2488,49.76,500,10,4063,8.126,214,4.28,10,150,3,51,1.02,16,0.32
top_agent,"(9, 9)",7,6,5,1,0,0,1894,37.88,500,10,6447,12.894,84,1.68,10,150,3,3,0.06,1,0.02
bottom_agent,"(9, 9)",7,6,5,1,3,0.006,2238,44.76,500,10,5115,10.23,198,3.96,10,150,3,0,0,0,0
top_agent,"(9, 9)",7,6,5,1,0,0,1888,37.76,500,10,5163,10.326,114,2.28,10,150,3,11,0.22,3,0.06
bottom_agent,"(9, 9)",7,6,5,1,0,0,2676,53.52,500,10,7579,15.158,266,5.32,10,150,3,354,7.08,62,1.24
top_agent,"(9, 9)",7,2,1,1,0,0,2094,41.88,500,10,6810,13.62,156,3.12,10,150,3,3,0.06,1,0.02
bottom_agent,"(9, 9)",7,2,1,1,0,0,2377,47.54,500,10,4411,8.822,213,4.26,10,150,3,14,0.28,4,0.08
top_agent,"(9, 9)",7,14,13,1,0,0,2284,45.68,500,10,7242,14.484,163,3.26,10,300,6,65,1.3,20,0.4
bottom_agent,"(9, 9)",7,14,13,1,0,0,2326,46.52,500,10,6485,12.97,177,3.54,10,150,3,251,5.02,57,1.14
top_agent,"(9, 9)",7,12,11,1,0,0,2024,40.48,500,10,7445,14.89,130,2.6,10,150,3,15,0.3,5,0.1
bottom_agent,"(9, 9)",7,12,11,1,2,0.004,2173,43.46,500,10,4264,8.528,170,3.4,10,150,3,60,1.2,20,0.4
top_agent,"(9, 9)",7,4,3,1,0,0,2213,44.26,500,10,4461,8.922,132,2.64,10,300,6,42,0.84,13,0.26
bottom_agent,"(9, 9)",7,4,3,1,0,0,2177,43.54,500,10,4771,9.542,147,2.94,10,150,3,6,0.12,2,0.04
top_agent,"(9, 9)",7,24,23,1,0,0,2108,42.16,500,10,5667,11.334,164,3.28,10,150,3,12,0.24,4,0.08
bottom_agent,"(9, 9)",7,24,23,1,0,0,2143,42.86,500,10,7496,14.992,139,2.78,10,150,3,9,0.18,3,0.06
top_agent,"(9, 9)",7,2,1,1,0,0,2029,40.58,500,10,6034,12.068,139,2.78,10,150,3,35,0.7,11,0.22
bottom_agent,"(9, 9)",7,2,1,1,1,0.002,2130,42.6,500,10,5678,11.356,169,3.38,10,150,3,0,0,0,0
top_agent,"(9, 9)",7,5,4,1,0,0,1951,39.02,500,10,7140,14.28,120,2.4,10,150,3,3,0.06,1,0.02
bottom_agent,"(9, 9)",7,5,4,1,0,0,2238,44.76,500,10,3874,7.748,216,4.32,10,150,3,34,0.68,11,0.22
top_agent,"(9, 9)",7,3,2,1,0,0,2211,44.22,500,10,5394,10.788,172,3.44,10,250,5,98,1.96,27,0.54
bottom_agent,"(9, 9)",7,3,2,1,0,0,1884,37.68,500,10,4813,9.626,105,2.1,10,150,3,4,0.08,1,0.02
top_agent,"(9, 9)",7,15,14,1,0,0,1887,37.74,500,10,4565,9.13,101,2.02,10,150,3,12,0.24,4,0.08
bottom_agent,"(9, 9)",7,15,14,1,0,0,2145,42.9,500,10,4151,8.302,169,3.38,10,150,3,99,1.98,28,0.56
top_agent,"(9, 9)",7,10,9,1,0,0,1846,36.92,500,10,5866,11.732,92,1.84,10,150,3,6,0.12,2,0.04
bottom_agent,"(9, 9)",7,10,9,1,0,0,2713,54.26,500,10,4945,9.89,331,6.62,10,150,3,6,0.12,2,0.04
top_agent,"(9, 9)",7,3,2,1,0,0,2226,44.52,500,10,3895,7.79,182,3.64,10,150,3,36,0.72,12,0.24
bottom_agent,"(9, 9)",7,3,2,1,0,0,2520,50.4,500,10,4932,9.864,280,5.6,10,150,3,184,3.68,55,1.1
top_agent,"(9, 9)",7,33,32,1,0,0,2006,40.12,500,10,5758,11.516,133,2.66,10,150,3,3,0.06,1,0.02
bottom_agent,"(9, 9)",7,33,32,1,0,0,2688,53.76,500,10,5755,11.51,300,6,10,150,3,322,6.44,85,1.7
top_agent,"(9, 9)",7,4,3,1,0,0,2029,40.58,500,10,5469,10.938,149,2.98,10,150,3,6,0.12,2,0.04
bottom_agent,"(9, 9)",7,4,3,1,0,0,2194,43.88,500,10,5140,10.28,193,3.86,10,150,3,177,3.54,54,1.08
top_agent,"(9, 9)",7,8,7,1,0,0,1969,39.38,500,10,4931,9.862,134,2.68,10,150,3,6,0.12,2,0.04
bottom_agent,"(9, 9)",7,8,7,1,0,0,2623,52.46,500,10,5845,11.69,305,6.1,10,150,3,210,4.2,65,1.3
top_agent,"(9, 9)",7,0,0,0,0,0,2110,42.2,500,10,5436,10.872,162,3.24,10,150,3,116,2.32,34,0.68
bottom_agent,"(9, 9)",7,0,0,0,0,0,2262,45.24,500,10,5953,11.906,209,4.18,10,150,3,6,0.12,2,0.04
top_agent,"(9, 9)",7,8,7,1,0,0,2037,40.74,500,10,4694,9.388,137,2.74,10,200,4,6,0.12,2,0.04
bottom_agent,"(9, 9)",7,8,7,1,0,0,1937,38.74,500,10,3554,7.108,128,2.56,10,150,3,15,0.3,5,0.1
top_agent,"(9, 9)",7,0,0,0,0,0,2064,41.28,500,10,7280,14.56,153,3.06,10,150,3,34,0.68,11,0.22
bottom_agent,"(9, 9)",7,0,0,0,0,0,2293,45.86,500,10,7352,14.704,212,4.24,10,150,3,54,1.08,18,0.36
top_agent,"(9, 9)",7,27,26,1,0,0,1875,37.5,500,10,5235,10.47,101,2.02,10,150,3,6,0.12,2,0.04
bottom_agent,"(9, 9)",7,27,26,1,0,0,1991,39.82,500,10,5243,10.486,138,2.76,10,150,3,69,1.38,22,0.44
top_agent,"(9, 9)",7,5,4,1,0,0,2033,40.66,500,10,7402,14.804,137,2.74,10,150,3,9,0.18,3,0.06
bottom_agent,"(9, 9)",7,5,4,1,0,0,2179,43.58,500,10,5503,11.006,178,3.56,10,150,3,10,0.2,3,0.06
top_agent,"(9, 9)",7,11,10,1,0,0,1987,39.74,500,10,7491,14.982,132,2.64,10,150,3,15,0.3,5,0.1
bottom_agent,"(9, 9)",7,11,10,1,0,0,2317,46.34,500,10,4865,9.73,169,3.38,10,150,3,33,0.66,11,0.22
top_agent,"(9, 9)",7,24,23,1,0,0,1898,37.96,500,10,4729,9.458,112,2.24,10,150,3,6,0.12,2,0.04
bottom_agent,"(9, 9)",7,24,23,1,0,0,2450,49,500,10,5023,10.046,254,5.08,10,150,3,78,1.56,23,0.46
top_agent,"(9, 9)",7,1,0,1,0,0,2034,40.68,500,10,8728,17.456,136,2.72,10,150,3,25,0.5,8,0.16
bottom_agent,"(9, 9)",7,1,0,1,1,0.002,2124,42.48,500,10,4575,9.15,168,3.36,10,150,3,39,0.78,13,0.26
top_agent,"(9, 9)",7,25,24,1,0,0,1963,39.26,500,10,5264,10.528,132,2.64,10,150,3,3,0.06,1,0.02
bottom_agent,"(9, 9)",7,25,24,1,0,0,2247,44.94,500,10,3789,7.578,200,4,10,150,3,33,0.66,11,0.22
top_agent,"(9, 9)",7,1,0,1,0,0,2167,43.34,500,10,5243,10.486,184,3.68,10,150,3,39,0.78,13,0.26
bottom_agent,"(9, 9)",7,1,0,1,0,0,2856,57.12,500,10,6118,12.236,283,5.66,10,150,3,6,0.12,2,0.04
top_agent,"(9, 9)",7,7,6,1,0,0,1957,39.14,500,10,7094,14.188,125,2.5,10,150,3,23,0.46,7,0.14
bottom_agent,"(9, 9)",7,7,6,1,0,0,2473,49.46,500,10,5989,11.978,210,4.2,10,150,3,19,0.38,6,0.12
top_agent,"(9, 9)",7,23,22,1,0,0,1961,39.22,500,10,5614,11.228,120,2.4,10,150,3,12,0.24,4,0.08
bottom_agent,"(9, 9)",7,23,22,1,0,0,2375,47.5,500,10,5366,10.732,217,4.34,10,150,3,13,0.26,4,0.08
top_agent,"(9, 9)",7,1,0,1,0,0,2374,47.48,500,10,4188,8.376,224,4.48,10,150,3,55,1.1,18,0.36
bottom_agent,"(9, 9)",7,1,0,1,0,0,2773,55.46,500,10,5887,11.774,334,6.68,10,150,3,76,1.52,19,0.38
top_agent,"(9, 9)",7,7,6,1,0,0,2147,42.94,500,10,4964,9.928,176,3.52,10,150,3,218,4.36,69,1.38
bottom_agent,"(9, 9)",7,7,6,1,0,0,2462,49.24,500,10,4194,8.388,252,5.04,10,150,3,12,0.24,4,0.08
top_agent,"(9, 9)",7,5,4,1,0,0,2111,42.22,500,10,4118,8.236,161,3.22,10,150,3,3,0.06,1,0.02
bottom_agent,"(9, 9)",7,5,4,1,0,0,2426,48.52,500,10,5102,10.204,257,5.14,10,150,3,39,0.78,13,0.26
top_agent,"(9, 9)",7,3,2,1,0,0,1887,37.74,500,10,8865,17.73,108,2.16,10,150,3,9,0.18,3,0.06
bottom_agent,"(9, 9)",7,3,2,1,0,0,2018,40.36,500,10,4179,8.358,141,2.82,10,150,3,27,0.54,9,0.18
top_agent,"(9, 9)",7,0,0,0,0,0,2023,40.46,500,10,7482,14.964,147,2.94,10,150,3,37,0.74,12,0.24
bottom_agent,"(9, 9)",7,0,0,0,0,0,2692,53.84,500,10,4252,8.504,298,5.96,10,150,3,77,1.54,20,0.4
top_agent,"(9, 9)",7,3,2,1,0,0,2175,43.5,500,10,4691,9.382,182,3.64,10,150,3,45,0.9,14,0.28
bottom_agent,"(9, 9)",7,3,2,1,0,0,2043,40.86,500,10,5650,11.3,157,3.14,10,150,3,45,0.9,15,0.3
top_agent,"(9, 9)",7,1,0,1,0,0,1952,39.04,500,10,4445,8.89,122,2.44,10,150,3,10,0.2,3,0.06
bottom_agent,"(9, 9)",7,1,0,1,2,0.004,2429,48.58,500,10,4475,8.95,251,5.02,10,150,3,33,0.66,11,0.22
top_agent,"(9, 9)",7,3,2,1,4,0.008,2070,41.4,500,10,3334,6.668,170,3.4,10,150,3,210,4.2,67,1.34
bottom_agent,"(9, 9)",7,3,2,1,0,0,2306,46.12,500,10,3504,7.008,229,4.58,10,150,3,109,2.18,32,0.64
top_agent,"(9, 9)",7,6,5,1,0,0,2020,40.4,500,10,4152,8.304,150,3,10,150,3,28,0.56,9,0.18
bottom_agent,"(9, 9)",7,6,5,1,0,0,2203,44.06,500,10,3545,7.09,188,3.76,10,150,3,254,5.08,64,1.28
top_agent,"(9, 9)",7,9,8,1,0,0,2194,43.88,500,10,5011,10.022,176,3.52,10,150,3,10,0.2,3,0.06
bottom_agent,"(9, 9)",7,9,8,1,0,0,2416,48.32,500,10,4070,8.14,237,4.74,10,150,3,19,0.38,6,0.12
top_agent,"(9, 9)",7,6,5,1,2,0.004,1926,38.52,500,10,3981,7.962,124,2.48,10,150,3,12,0.24,4,0.08
bottom_agent,"(9, 9)",7,6,5,1,0,0,2136,42.72,500,10,4236,8.472,177,3.54,10,150,3,83,1.66,24,0.48
top_agent,"(9, 9)",7,7,6,1,0,0,1941,38.82,500,10,6036,12.072,125,2.5,10,150,3,3,0.06,1,0.02
bottom_agent,"(9, 9)",7,7,6,1,0,0,2643,52.86,500,10,4906,9.812,318,6.36,10,150,3,12,0.24,4,0.08
top_agent,"(9, 9)",7,9,8,1,0,0,2007,40.14,500,10,9099,18.198,114,2.28,10,200,4,49,0.98,14,0.28
bottom_agent,"(9, 9)",7,9,8,1,0,0,2442,48.84,500,10,5679,11.358,260,5.2,10,150,3,57,1.14,17,0.34
top_agent,"(9, 9)",7,34,33,1,0,0,1911,38.22,500,10,4438,8.876,111,2.22,10,150,3,15,0.3,4,0.08
bottom_agent,"(9, 9)",7,34,33,1,1,0.002,2113,42.26,500,10,4231,8.462,173,3.46,10,150,3,33,0.66,11,0.22
top_agent,"(9, 9)",7,4,3,1,0,0,2171,43.42,500,10,7929,15.858,135,2.7,10,150,3,18,0.36,6,0.12
bottom_agent,"(9, 9)",7,4,3,1,0,0,2173,43.46,500,10,5767,11.534,153,3.06,10,150,3,60,1.2,17,0.34
top_agent,"(9, 9)",7,47,46,1,0,0,1981,39.62,500,10,5212,10.424,131,2.62,10,150,3,30,0.6,9,0.18
bottom_agent,"(9, 9)",7,47,46,1,0,0,2126,42.52,500,10,5309,10.618,166,3.32,10,150,3,66,1.32,18,0.36
top_agent,"(9, 9)",7,8,7,1,0,0,2252,45.04,500,10,7009,14.018,198,3.96,10,150,3,277,5.54,76,1.52
bottom_agent,"(9, 9)",7,8,7,1,0,0,2658,53.16,500,10,6682,13.364,321,6.42,10,150,3,252,5.04,75,1.5
top_agent,"(9, 9)",7,4,3,1,0,0,2275,45.5,500,10,7069,14.138,208,4.16,10,150,3,39,0.78,13,0.26
bottom_agent,"(9, 9)",7,4,3,1,0,0,2024,40.48,500,10,5227,10.454,144,2.88,10,150,3,51,1.02,15,0.3
top_agent,"(9, 9)",7,10,9,1,0,0,1859,37.18,500,10,5915,11.83,108,2.16,10,150,3,27,0.54,9,0.18
bottom_agent,"(9, 9)",7,10,9,1,0,0,2052,41.04,500,10,5232,10.464,154,3.08,10,150,3,42,0.84,13,0.26
top_agent,"(9, 9)",7,2,1,1,0,0,2004,40.08,500,10,5870,11.74,125,2.5,10,150,3,6,0.12,2,0.04
bottom_agent,"(9, 9)",7,2,1,1,0,0,2461,49.22,500,10,4658,9.316,258,5.16,10,150,3,15,0.3,5,0.1
