Agent,Grid Size,Number of Colors,Total No. of Regenerations until valid board generation,Total No. of Times Matches Occurred during init,Total No. of Deadlocks during init,Total No. of Shuffles/Deadlocks Occurred,Avg No. of Shuffles/Deadlocks Occurred per move,Total score per Game Setting,Avg score per Game Setting,Total Valid Moves Made,Avg Valid Moves Made,Total No. of Possible/Playable Moves,Avg No. of Possible/Playable Moves per config,Total No. of Avalanche Matches,Avg No. of Avalanche Matches per move,Total Moves Available per Game Setting,Total deterministic score after first move,Avg deterministic score after first move,Total non-deterministic score after first move,Avg non-deterministic score after first move,Total avalanche count after first move
bottom_agent,"(10, 10)",10,0,0,0,5,0.01,1769,35.38,500,10,3208,6.416,77,0.154,10,150,3,61,1.22,19
top_agent,"(10, 10)",10,2,1,1,0,0,1963,39.26,500,10,5744,11.488,143,0.286,10,150,3,0,0,0
bottom_agent,"(10, 10)",10,2,1,1,0,0,1964,39.28,500,10,5553,11.106,130,0.26,10,150,3,3,0.06,1
top_agent,"(10, 10)",10,7,6,1,3,0.006,1908,38.16,500,10,3991,7.982,100,0.2,10,150,3,8,0.16,2
bottom_agent,"(10, 10)",10,7,6,1,1,0.002,1915,38.3,500,10,3371,6.742,114,0.228,10,150,3,12,0.24,4
top_agent,"(10, 10)",10,8,7,1,16,0.032,1712,34.24,500,10,3725,7.45,70,0.14,10,150,3,31,0.62,10
bottom_agent,"(10, 10)",10,8,7,1,2,0.004,1861,37.22,500,10,2742,5.484,104,0.208,10,150,3,25,0.5,8
top_agent,"(10, 10)",10,4,3,1,1,0.002,1727,34.54,500,10,3853,7.706,72,0.144,10,150,3,21,0.42,7
bottom_agent,"(10, 10)",10,4,3,1,4,0.008,1759,35.18,500,10,3225,6.45,76,0.152,10,150,3,6,0.12,2
top_agent,"(10, 10)",10,8,7,1,0,0,1653,33.06,500,10,3012,6.024,46,0.092,10,150,3,0,0,0
bottom_agent,"(10, 10)",10,8,7,1,0,0,1794,35.88,500,10,3310,6.62,82,0.164,10,150,3,3,0.06,1
top_agent,"(10, 10)",10,3,2,1,1,0.002,1733,34.66,500,10,4939,9.878,58,0.116,10,150,3,0,0,0
bottom_agent,"(10, 10)",10,3,2,1,1,0.002,1696,33.92,500,10,3078,6.156,55,0.11,10,150,3,0,0,0
top_agent,"(10, 10)",10,7,6,1,1,0.002,1877,37.54,500,10,3020,6.04,112,0.224,10,150,3,19,0.38,6
bottom_agent,"(10, 10)",10,7,6,1,1,0.002,2052,41.04,500,10,4295,8.59,121,0.242,10,150,3,3,0.06,1
top_agent,"(10, 10)",10,2,1,1,4,0.008,1961,39.22,500,10,3284,6.568,98,0.196,10,150,3,13,0.26,4
bottom_agent,"(10, 10)",10,2,1,1,4,0.008,1985,39.7,500,10,3799,7.598,145,0.29,10,150,3,24,0.48,8
top_agent,"(10, 10)",10,3,2,1,5,0.01,1622,32.44,500,10,3538,7.076,35,0.07,10,150,3,0,0,0
bottom_agent,"(10, 10)",10,3,2,1,15,0.03,1695,33.9,500,10,5198,10.396,61,0.122,10,150,3,0,0,0
top_agent,"(10, 10)",10,1,0,1,57,0.114,1897,37.94,500,10,10675,21.35,116,0.232,10,150,3,3,0.06,1
bottom_agent,"(10, 10)",10,1,0,1,60,0.12,1924,38.48,500,10,9893,19.786,133,0.266,10,150,3,0,0,0
top_agent,"(10, 10)",10,2,1,1,7,0.014,2027,40.54,500,10,3809,7.618,118,0.236,10,150,3,3,0.06,1
bottom_agent,"(10, 10)",10,2,1,1,5,0.01,1834,36.68,500,10,3344,6.688,101,0.202,10,150,3,157,3.14,51
top_agent,"(10, 10)",10,4,3,1,0,0,1824,36.48,500,10,2797,5.594,101,0.202,10,150,3,16,0.32,5
bottom_agent,"(10, 10)",10,4,3,1,10,0.02,1897,37.94,500,10,4755,9.51,117,0.234,10,150,3,198,3.96,61
top_agent,"(10, 10)",10,5,4,1,0,0,1710,34.2,500,10,4875,9.75,67,0.134,10,150,3,9,0.18,3
bottom_agent,"(10, 10)",10,5,4,1,1,0.002,1696,33.92,500,10,4254,8.508,41,0.082,10,150,3,0,0,0
top_agent,"(10, 10)",10,8,7,1,4,0.008,1813,36.26,500,10,2271,4.542,71,0.142,10,200,4,3,0.06,1
bottom_agent,"(10, 10)",10,8,7,1,3,0.006,1819,36.38,500,10,2421,4.842,85,0.17,10,200,4,6,0.12,2
top_agent,"(10, 10)",10,0,0,0,11,0.022,1644,32.88,500,10,4628,9.256,42,0.084,10,150,3,3,0.06,1
bottom_agent,"(10, 10)",10,0,0,0,36,0.072,1717,34.34,500,10,7199,14.398,67,0.134,10,150,3,0,0,0
top_agent,"(10, 10)",10,3,2,1,13,0.026,1730,34.6,500,10,4173,8.346,69,0.138,10,150,3,21,0.42,7
bottom_agent,"(10, 10)",10,3,2,1,11,0.022,1715,34.3,500,10,3854,7.708,63,0.126,10,150,3,6,0.12,2
top_agent,"(10, 10)",10,2,1,1,0,0,1833,36.66,500,10,3749,7.498,101,0.202,10,150,3,190,3.8,58
bottom_agent,"(10, 10)",10,2,1,1,2,0.004,1947,38.94,500,10,2691,5.382,133,0.266,10,150,3,7,0.14,2
top_agent,"(10, 10)",10,11,10,1,0,0,1790,35.8,500,10,4259,8.518,87,0.174,10,150,3,10,0.2,3
bottom_agent,"(10, 10)",10,11,10,1,0,0,1737,34.74,500,10,4442,8.884,73,0.146,10,150,3,42,0.84,14
top_agent,"(10, 10)",10,3,2,1,1,0.002,1656,33.12,500,10,3365,6.73,49,0.098,10,150,3,18,0.36,6
bottom_agent,"(10, 10)",10,3,2,1,27,0.054,1686,33.72,500,10,6122,12.244,61,0.122,10,150,3,12,0.24,4
top_agent,"(10, 10)",10,4,3,1,0,0,2049,40.98,500,10,5031,10.062,120,0.24,10,150,3,3,0.06,1
bottom_agent,"(10, 10)",10,4,3,1,1,0.002,2018,40.36,500,10,4562,9.124,139,0.278,10,150,3,3,0.06,1
top_agent,"(10, 10)",10,0,0,0,0,0,1784,35.68,500,10,3139,6.278,78,0.156,10,150,3,18,0.36,6
bottom_agent,"(10, 10)",10,0,0,0,8,0.016,1883,37.66,500,10,4844,9.688,118,0.236,10,150,3,24,0.48,8
top_agent,"(10, 10)",10,0,0,0,1,0.002,1972,39.44,500,10,3986,7.972,124,0.248,10,150,3,37,0.74,11
bottom_agent,"(10, 10)",10,0,0,0,28,0.056,2324,46.48,500,10,6157,12.314,249,0.498,10,150,3,192,3.84,60
top_agent,"(10, 10)",10,6,5,1,0,0,1774,35.48,500,10,3279,6.558,67,0.134,10,150,3,45,0.9,14
bottom_agent,"(10, 10)",10,6,5,1,0,0,1761,35.22,500,10,2730,5.46,67,0.134,10,150,3,6,0.12,2
