Agent,Grid Size,Number of Colors,Mean regenerations during init,Median regenerations during init,Mean Matches Occurred during init,Median Matches Occurred during init,Mean Deadlocks during init,Median Deadlocks during init,Mean Shuffles/Deadlocks Occurred per move,Median Shuffles/Deadlocks Occurred per move,Mean Shuffles/Deadlocks Occurred per game,Median Shuffles/Deadlocks Occurred per game,Mean score per Game Setting,Median score per Game Setting,Mean Valid Moves Made,Median Valid Moves Made,Mean Possible/Playable Moves per config,Median Possible/Playable Moves per config,Mean Avalanche Matches per game,Median Avalanche Matches per game,Mean deterministic score after first move,Median deterministic score after first move,Mean non-deterministic score after first move,Median non-deterministic score after first move
bottom_agent,"(20, 20)",250,12.015,8,0.115,0,11.9,8,11.87903361,11.669,118.6323,116.51,30.0064,30.02,9.9885,10,88.7975432,88.23,0.9799,0.98,3,3,0.0006,0
bottom_agent,"(20, 20)",300,18.66666667,12.5,0.119047619,0,18.54761905,12.5,17.84689971,17.83535503,174.9842857,176.55,29.51238095,29.55,9.826428571,9.84,88.53012665,89.51033058,0.96452381,0.96,3,3,0,0
bottom_agent,"(20, 20)",350,21.390625,14.5,0.109375,0,21.28125,14.5,23.73105494,23.61316873,220.9790625,221.38,28.1525,28.57,9.378125,9.52,86.8423342,85.31939094,0.916875,0.9,3,3,0,0
bottom_agent,"(20, 20)",400,25.4,18,0.133333333,0,25.26666667,18,32.16788565,31.3764988,250.9146667,249.5,24.204,25.32,8.064,8.44,87.86495129,87.34482759,0.8,0.78,3,3,0,0
NotApplicable,"(10, 10)",5,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NotApplicable,"(15, 15)",5,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NotApplicable,"(15, 15)",10,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NotApplicable,"(20, 20)",5,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NotApplicable,"(20, 20)",10,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NotApplicable,"(20, 20)",300,100,100,1,1,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NotApplicable,"(20, 20)",350,100,100,1,1,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
